Provincia,Frazioni,Abitanti,Superficie,Stazione,Prodotti,Altre_info,page
ANNONE VENETO,"Spadacenta, Boschetto, Loncon, Fae, Giai, Oltre. fossa",4711,ett. 2380,"Annone Veneto, distanza km. 0,500","cereali, bozzoli",,494
CAMPAGNALUPIA,"Lugo, Lughetto, Lova",4872 al 31-12-1945,ett. (8800) (compresle le Valli),"Campagna Lupia, Camponogara (Piazzale) per merci e passeggeri (distanza Km. 1-500). Fermate; ferroviaria, Campagna Lupia, distanza m. 200","Cereali, vino, foraggi, barbabietole. Pesce.",Tramvio: Dolo.,495-496
CAMPOLONGO MAGGIORE,"Boion, Liettoli",7781,ett. 2382,Piove di Sacco (distanza Km. 3.500) con fermata a Boion e Campolongo,"Cereali, uva, grano, foraggi, bietole, avena e tabacco","Tramvia : Piove di Sacco, linea Piove-Mestre, con fermata a Boion.",497
CAMPOGONARA,"Campongonara, Pozzolo, Premaore, Campoeverardo",7010,ett. 2125,"Dolo (distanza km. 8.5). Stazione Ferroviaria (Campongara: Campagna Lupia Km. 3). Stazione Tranviaria: Campongara (distanza Km. 6), autouncorria Campagnalupiare.",Vino, frumento,498
CAORLE,"Ca' Corniani, San Giorgio, San Gaetano, Villavieia, Ca' Cottoni",10055,Ett. 17.695,"Portogruaro (distanza Km. 26,5) e San Donà di Piave (distanza Km. 29)","Frumento, fieno, vino, pesce, erba medica, granoturco, estrame, cannelli, barbabietole","Servizio Autocorriera: Caorle, Portogruaro, Caorle, San Donà, Caorle, Punta di Sabbioni",499-500
CAVARZERE,"Rottanova, S. Pietro",25199,ett. 13.000,Cavarzere,"Cereali, bietole, erbaggi, alcool (Distilleria di Cavarzere), Zuccherificio",,501-502-503
CEGGIA,"Centro, Fossà, Prà di Levada, Rivanzana, Sa­lezzo, Gaianga, Noghera, Formighe, Prà d'Arca",,Ett. 2195,Ceggia,"Cereali, u., v.e, hozzoli, foraggio, vino",,504
CHIOGGIA,"Sottomarina (Stazione balneare), S. Anna, Cavanella, Ca' Bianca, Valli",60501,Ett. 18448.43.20,Chioggia,"Pesce, ortaggi",Servizio lagunare: Battelo a vapore 'Chioggia - Venezia'; Servizio di autobus: Chioggia - Padova; Chioggia - Venezia (in efficanza); Chioggia - Cavarzere; Chioggia - Sottomarina; Chioggia - S. Anna e Caravella; Chioggia - Monselice; Chioggia - Rovigo; Vige - Stazione Chioggia (servizio interrotto),505-506-507-508-509-511-512-513-514
CINTO CAOMAGGIORE,Settimo,3680,Ett. 2200,Portogruaro, distanza Km, 6,515
CONA,"Conetta, Cantarana, Civè, Foresto, Monsole, Pegolotte",6509,6527,Pegolotte (capoluogo),"cereali, uva, bietole, foraggi",,516
CONCORDIA SAGITTARIA,Cavanella e Concordia Centro,6767 al 31.10.1928,6647,Portogruaro (distanza Km. 4),,,517
DOLO,"S. Bruson, Arino",10100,Ett. 2386,"Dolo, distanza Km. 3.5 Tranvie: Linea Padova-Venezia","cereali, vino, bestiame, legumi",,518-519-520-521
FIESO D’ARTICO,,3663,Ett. 640,Barha.r.1za (dli.tan7.a Km. 4),cereali, vino,522
FOSSALTA DI PIAVE,"Centro, Gonfo, Conteu, Capo d'Argine, Campolongo, Ronche, Lanpol.",4125,973,"Fossalta di Piave, distanza Km. 2.700.",,"Trasporti automobilisti: per Treviso e S. Donà di Piave, per S. Donà, Jesolo, per Farzare Stazioni, per Punta Sabbioni, Caorle, Venezia.",523
FOSSALTA DI PORTOGRUARO,"Villanova, Vado, Aivisopoli, Fratta, Gorgo, Stiago, Sacilato",5190,Ett. 3.116.68,Fossalta (Distanza Km. 0.800),"Cereali, forraggi e vini",,524
FOSSO',Sandon,3890,Ett. 997,Campagna Lupia Kni 9. Linea tramviaria Padovo-Fusina-Venezia, Vino, cereali,525
GRISOLERA,"Cittanova, Busalonda, Torre di Fine, Stretti, Tombonino, Ca' Turetta, Larguo, Tre Cai, Cironcne, Lareuzzola, Revedoli, Vallisetta Casoni, Paluda, Valle Tagli",11892,Ett. 9800,"S. Donà di Piave. distanza Km. 12. Servizio Autocorriere per Venezia, S. Donà di Piave e Caorle.","Cereali, uva, bietole, legumi, ecq.",,526
GRUARO,"Gruaro, Bagnara, Sega, Boldura, Già",3123,2023,"Cordovado, distanza Km. 3.5 - Portogruaro, distanza Km. 7.",,,527
