Name,Address,Category,Additional Info,page
duse,Venezia - Via XXII Marzo,Arredo,Ufficio e Macchine per Scrivere - Duplicatori - Accessori - Telefono 25-889,494
d'Use,Venezia - Via XXII Marzo,Office Machinery,Telefono 25-889,495
d'” '''duse''',"VIA XXII MARZO 2288, VENEZIA",Macchine per scrivere,OCCASIONI - CAMBI – RICOSTRUZIONI - NOLEGGI - Telefono n. 25.889,496
d'use,VENEZIA - Via XXII Marzo,2288,Mobili e accessori,497
d'use,VENEZIA - Via XXII Marzo 2288,Macchine per scrivere,OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI Telefono n. 25.889,498
d'use,Venezia,Mobile e Accessori per Ufficio,Via XXII Marzo,499
Duse,Via XXII Marzo,Mobile per Ufficio e Macchine Contabili,Telefono 2288 6 25-889,500
"Officina Riparazioni Macchine per Scrivere ""duse""","Venezia, Via XXII Marzo, 2288",Typewriter Repairs,Telefono 25-889,501
duse,"VENEZIA - Via XXI Marzo, n. 2288",Macchine per scrivere,Telefono n. 25-889,502
d'Use,Via S.Marco n. 2288,Officina riparazioni,Telefono 32-388,503
d'Use,VENEZIA - Via XXII Marzo,Typewriters,Occasioni - Cambi - Ricostruzioni - Noleggi - Telefono 25-889,504
d'use,VENEZIA • Via XXII Marzo,2288,Forniture,505
duse,Venezia - Via XXII Marzo 2288,Macchine per scrivere,"Occasioni, Cambi, Ricostruzioni, Noleggi - Telefono n. 25.889",506
G. Gamba,Chioggia - Riva Canal Lombardo, 1428 - Tel. 98, Agenzia Marittima,507
Agenzia Marittima Gino Ferro,Via Bersaglio 345 - Chioggia,Rappresentanze,,507
Donaggio Cesare & Figli,Chioggia,Forniture Peschericie,Reti; Suburbio Callo P. Scarpa; Riva Vena 919; Confezioni reti da pesca e da caccia; Attrezzi pescherie in genere; Casella Postale N. 48; Telegrammi: DONAGGIO RETI,507
duse,Venezia - Via XXII Marzo, 2288,Mobili,507
BRUNO SCARPA,Stradale Ponte Caneva, 635,Lubricants,508
CIVIERO MARCELLO,Corso del Popolo, 111,Lubricants,508
d' duse,VENEZIA,OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,VIA XXII Marzo,509
Cav. A. Ballarin Denti,Chioggia,Dentistry,"Fabrica: Marmette a mosaico, Mattonelle, Piotrini o tubi in cemento; Deposito: Materiale da costruzione; Telegrafo: Denti - Chioggia",512
SASSETTO & NACCI,Riva S. Domenico, 876 - CHIOGGIA,OFFICINA MECCANICA,513
OFFICINA MECCANICA TIOZZO BRUNO,Riva Canal Lombardo 1417 - CHIOGGIA,MEOOANICA,Installazioni Motori Marini Riparazioni in genere,513
Duse,"VENEZIA - Via XXII Marzo, 2288",Forniture completo MOBILI o ACCESSORI per UFFICI,Telefono 25.889,513
d'use,VENEZIA - Via XXII Marzo,Macchine per scrivere,Calcolatrici - Duplicatori OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI Telefono 25-889,514
duse,"VENEZIA, Via XXII Marzo, 2288",Forniture mobili e accessori,Telefono 25-889,515
d̀use,"VENEZIA - Via XXII Marzo, 2288",Mobili per Ufficio,MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI Telefono 25-889,516
CONCORDIA SAGITTARIA,,Municipality,"Frazioni dipendenti dal Comune: Cavanella e Concordia Centro,\nAbitanti: 6767 al 31.10.1936,\nSuperficie: Ett. 8647.\nStazione Ferroviaria: Portogruaro (distanza Km. 4).",517
I° duse,Via XXII Marzo N. 2288,Venezia,OFFICINA RIPARAZIONI\nMACCHINE PER SCRIVERE\nTelefono 28-899,517
d'USE,,Office Furniture,"MOBILI PER UFFICIO - MACCHINE PER SCRIVER - DUPLICATORI - ACCESSORI, VENEZIA - Via XXI Marzo, 2288 - Telefono 25-889",518
"OFFICINA RIPARAZIONI ""DUSE""",Via 3 di Marzo n. 2288,Macchine per Scrivere,Telefono 25-889,519
d'use,Via XXII Marzo,Macchine per scrivere e calcolatrici,Occasioni - Cambi - Ricostruzioni - Noleggi - Telefono 25-889,520
MOBILIFICIO VENETO,VIA RIZZO 27,Dolo (Venezia),Ricoo assortimento Mobili di lusso e comuni - Ottomane Divani - Letti matrimonali - Poltrone letto - Poltroncine Salottini combinati. TEL. Centralino Dolo,521
Duse,Venezia,Office Furniture,Forniture complete MOBILI e ACCESSORI per UFFICIO - Via XXII Marzo,521
Duse,Venezia - Via XXII Marzo,Macchine per scrivere - Calcolatrici - Duplicatori,Occasioni - Cambi - Ricostruzioni - Noleggi - Telefono 25-889,522
duse,VENEZIA - Via XXII Marzo,2288,Forniture,523
,VENEZIA – Via XXII Marzo, n. 2288,MOBILI PER UFFICIO - MACCHINE CONTABILI - MACCHINE PER SCRIVERE - DUPLICATORI - AGGREGOSTORI,524
Duse,Venezia,Officina Riparazioni,"Via XXI Marzo N. 2288, Telefono 25-889, MACCHINE per SCRIVERE",525
duset,,Office Furniture,"Schedari - Mobili per Ufficio - Macchine Contabili; Macchine per Scrivere - Duplicatori - Accessori; VENEZIA - Via XXII Marzo, n. 2288 - Telefono n. 25-889",526
d'use,VENEZIA - Via XXII Marzo, 2288, Repairs,527
d'use,VENEZIA · Via XXII Marzo 2288,Macchine per scrivere,"OCCASIONI · CAMBI · RICOSTRUZIONI · NOLEGGI, Telefono n. 25.889",528
duse,VENEZIA - Via XXII Marzo, 2288,Forniture,529
duse,VENEZIA - Via XXII Marzo 2288,Macchine per scrivere,OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI Telefono N. 25.889,530
duse,Venezia Via XXII Marzo,2288,Office Supplies,531
duse,Venezia Via XXI Marzo 2288,Office Furniture,"Macchine per scrivere - Duplicatori - Accessori, Telefono 25-889",532
DUSE,"Via XXII Marzo, 2288",Machines Repair,Telefono 25-889,533
d'Use,Venezia,Office Supplies,"Mobili per ufficio, Macchine contabili, Macchine per scrivere, Duplicatori, Accessori; Via XXI Marzo, 2288; Telefono 25-889",534
Salviato Ferruccio,Via Giacomo Matteotti 525 A - MIRA,Mobili (Fabbriche),Falegnameria Mobilificio,535
La Radiotecnica,Negozio: Mira Taglio, N. 176 - Tel. 12,Apparecchi Radio,536
duse,VENEZIA,Mobile e Accessori per Ufficio,Forniture complete Mobili e Accessori per Ufficio,537
d' duse,VENEZIA • Via XXII Marzo,Macchine per scrivere,Occasioni - Cambi - Ricostruzioni - Noleggi • Telefono 25-889,538
d'use,"VIA XXII Marzo, 2288",Forniture complete MOBILI e ACCESSORI per UFFICIO,Telefono 25-889,539
"Officina Riparazioni ""Duse""",Venezia Via XXII Marzo 11. 2228,Macchine per Scrivere,Telefono 42-899,541
SCHEDARI - MOBILI PER UFFICIO,"VENEZIA - Via XXI Marzo, n. 2288",Furniture,"MACCHINE CONTABILI - MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI, Telefono n. 25-889",542
"duse,,,,",,,,542
Officina Riparazioni,Via XXI Marzo n. 2288,Officine,Telefono 22-88,543
d'use,Via XXI Marzo, Venezia,Macchine per scrivere,544
d'use,VENEZIA - Via XXII Marzo,Arredamento,Forniture complete MOBILI e ACCESSORI per UFFICIO - Telefono 25.889,545
d'use,VIA XXII Marzo 2288,Venezia,"Macchine per scrivere, Calcolatrici, Duplicatori, Occasioni, Cambi, Ricostruzioni, Noleggi, Telefono n. 25.889",546
duse,Venezia - Via XXII Marzo,2288,Mobili e Accessori per Ufficio,547
duse,VENEZIA – Via XXII Marzo, n. 2288,Advertising,548
Duse,Venezia,Optical Repair,Via XXII Marzo,549
d'use.,VENEZIA - Via XXII Marzo, 2288,Office Equipment,551
Duse,VENEZIA,Macchine per scrivere,"OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI, Via XXII Marzo 2288, Telefono n. 25.889",552
