Name,Address,Category,Additional Info,page
d'use,VENEZIA Via XXII Marzo,Varie,MOBILI PER UFFICIO - MACCHINE CONTABILI MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI - Telefono 25-889,494
dise,,Office Equipment Repair,"VENEZIA - Via XXII Marzo, 2288 - Telefono 25-889",495
d'USE,VENEZIA - Via XXII Marzo 2288,Macchine per scrivere,"OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI, Telefono n. 25.889",496
d.use,Venezia - Via XXII Marzo,2288,Mobili e Accessori per Ufficio,497
duse,VENEZIA - Via XXII Marzo 2288,Macchine per scrivere - Calcolatrici - Duplicatori,"OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI, Telefono n. 25.889",498
d'use,VENEZIA - Via XXII Marzo,2288,Mobili e Accessori per Ufficio,499
d'USE,VIA XXII MARZO 2288,Office Supplies,"MOBILI PER UFFICIO - MACCHINE CONTABILI, MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI; Telefono 25-889",500
d'Use,"VENEZIA - Via XXII Marzo, 2288",OFFICINA RIPARAZIONI,Telefono 25-889,501
d’use,"Venezia – Via XXI Marzo, n. 2288",Macchine per scrivere,Telefono n. 25-889,502
Duse,Via SM. Marco n. 2288,Officina Riparazioni,"Macchine per scrivere, Telefono 32-389",503
duse,VENEZIA - Via XXII Marzo,Machine supplies,Telephone 25-889,504
d' Use,"Venezia • Via XXII Marzo, 2288",Mobili,"Forniture complete MOBILI e ACCESSORI per UFFICIO, Telefono 25.889",505
Duse,VENEZIA - Via XXII Marzo 2288,Macchine per scrivere,Occasioni - Cambi - Ricostruzioni - Noleggi - Telefono n. 25.889,506
G. Gamba,Agenzia Marittima,Spedizioni,"CHIOGGIA - Riva Canal Lombardo, 1428 - Tel. 98 - Spedizioni - Noleggi e Trasporti Marittimi, Fluviali, a Viaggio e a Tempo - Gestioni Navali - Rappresentanze - Magazzini di Deposito - Imbarchi - Sbarchi - Deposit o Laterizi",507
Agenzia Marittima Gino Ferro,Via Bersaglio 345 - CHIOGGIA,Rappresentanze,,507
Donaggio Cesare & Figli,Chioggia,Forniture Pescherecce,R E T I F I C I O : Suburbio - M A G A Z Z I N O P I N O : Calle P. Scarpa - N E G O Z I O : Riva Vena 919 - Casella Postale N. 48 - Telegrammi : DONAGGIO RETI - Confezioni reti da pesca e da caccia - T o r - t i g l i e di cotone - Reti spaghi e cordami di canapa - Manilla - S i s a l - Lamepadapesca e accessori - Fiocine - Bandiere - Pino per concia - A t t r e z z i p e s c h e r e c c i i n g e n e r e.,507
duse,VENEZIA,Mobili e Accessori,"Forniture completo MOBILI e/o ACCESSORI per UFFICIO - Via XXII Marzo, 2288 - Telefono 25.889",507
BRUNO SCARPA,Stradale Ponte Caneva, 635, Lubricants,508
CIVIERO MARCELLO,Corso del Popolo, 111, Carburanti,508
d'use,"Venezia, Via XXII Marzo, 2288",Riparazioni,Telefon 25.889,509
dusen,VIA XXII Marzo,n/a,MOBILI PER UFFICIO - MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI - Telefono n. 25-889,510
Cav. A. Ballarin Denti,Chioggia,Dentist,Telegrafo: Denti - Chioggia,512
dose,,Typewriter,Macchine per scrivere — Calcolatrici — DuplicatoriOCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGIVENEZIA - Via XXII Marzo 2288 - Telefono 25.889,512
SASSETTO & NACCAR,Riva S. Domenico, 876 - CHIOGGIA,OFFICINA MECCANICA,513
OFFICINA MEOOANICA TIOZZO BRUNO,Riva Canal Lombardo 1417 - CHIOGGIA,Installazioni Motori Marini,Riparazioni in genere,513
düse,VENEZIA - Via XXII Marzo, 2288,Office Equipment,514
d'Use,Venezia,Vini e liquori (grossisti),"Forniture complete MOBILI e ACCESSORI per UFFICIO, Via XXII Marzo, 2288, Telefono 25-889",515
duse,,Mobili per Ufficio,"Macchine per Scrivere - Duplicatori - Accessori, Venezia - Via XXII Marzo, 2288 - Telefono 25-889",516
OFFICINA RIPARAZIONI I.M.A.C.C.H.I.N.E peR SC.RI.V.ERE,"Via XXII Marzo II. 2288, Venezia",Repair,Telefono 25 899,517
düse,"Venezia - Via XXII Marzo, 2288",Office Equipment,"Mobili per ufficio - Macchine contabili - Macchine per scrivere - Duplicatori - Accessori, Telefono 25-889",518
"Officina Riparazioni ""duse""",Via Vol. Marco n. 2288,Macchine per Scrivere,Telefono 25-889,519
d'use,"Venezia, Via XXII Marzo, 2288",Machines,"Macchine per scrivere - Calcolatrici - Duplicatori, Occasioni - Cambi - Ricostruzioni - Noleggi, Telefono 25-889",520
MOBILIFICIO VENETO,VIA RIZZO 27,Furniture,"TEL. Centralino Dolo, LABORATORIO: Via Badoera 10, DOLO - (Venezia), Ricco assortimento Mobili di lusso e comuni - Ottomane Divani - Letti matrimoniali - Poltrone letto - Poltroncine Salottini combinati",521
duse,VENEZIA · Via XXI Marzo,Office Furniture,"Forniture complete MOBILI e ACCESSORI per UFFICIO, Telefono 25-889",521
Duse,VENEZIA - Via XXII Marzo,Macchine per scrivere,Telefono 25-889,522
dese,"VENEZIA - Via XXI Marzo, 2288",Forniture complete mobili e accessori per ufficio,Telefono 25.889,523
duse,VENEZIA - Via XXII Marzo,Macchine per ufficio,Telefono n. 25-889,524
Officina Riparazioni Duse,"Via XXI Marzo n. 2288, Venezia",Macchine per Scrivere,Telefono 28-889,525
d'use,"VENEZIA — Via XXII Marzo, n. 2288",Mobile per Ufficio,Telephone n. 25-889,526
Duse,Via XXII Marzo, 2288, Officina Riparazioni Macchine per Scrivere,527
d'USE,,Office Equipment,"Macchine per scrivere - Calcolatrici - Duplicatori, OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI, VENEZIA - Via XXII Marzo 2288 - Telefono n. 25.889",528
duse,VENEZIA - Via XXII Marzo, 2288,Forniture,529
duse,VENEZIA - Via XXII Marzo 2288,Macchine per scrivere,Occasioni - Cambi - Ricostruzioni - Noleggi Telefono n. 25.889,530
d'use,VENEZIA - Via XXI Marzo, 2288,Office Supplies,531
Duse,Venezia,Office Supplies and Services,"SCHEDARI - MOBILI PER UFFICIO - MACCHINE CONTABILI - MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI, Via XXI Marzo, 2288 - Telefono 25-889",532
d'use,VENEZIA - Via XXII Marzo, 2288,Officina Riparazioni Macchine per Scrivere,533
d.use,"Venezia, Via XXII Marzo, 2288",Mobili per Ufficio e Macchine,"Macchine per scrivere, duplicatori, accessori, Telefono 25-889",534
Salviato Ferruccio,Via Giacomo Matteotti 525 A,Mobile (Fabbro),Falegnameria Mobilificio,535
La Radiotecnica,Negozio: Mira Taglio N. 176,Radio,APPARECCHI RADIO ED ELETTRODOMESTICI DELLE MIGLIORI CASE Tel. 12,536
d’use,"VENEZIA - Via XXII Marzo, 2288",Forniture,Telefono 25-889,537
Duse,VENEZIA - Via XXII Marzo,Macchine per scrivere,Occasioni - Cambi - Ricostruzioni - Noleggi - Telefono 25-889,538
duse,VENEZIA - Via XXII Marzo, 2288,Mobili e Accessori,539
"d' ""duse""",VENEZIA Via XXII Marzo,Macchine,Ufficio MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI - Telefono 25-889,540
d'use,Via XXI Marzo 11 2228,Venezia,Telefono: 28-899,541
d’use,"Venezia – Via XXII Marzo, n. 2288",Mobil per Ufficio,MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI - Telefono n. 25-889,542
Officina Riparazioni 'Duse'," ""Via XXI Marzo 1"," Venezia"""," ""Machine Shop""",543
DUSE,VENEZIA - Via XXI Marzo,Macchine per scrivere e calcolatrici,Occasioni - Cambi - Ricostruzioni - Noleggi - Telefono 25-889,544
Duse,VENEZIA - Via XXII Marzo,2288,Forniture,545
d'use,"VIA XXII Marzo 2288, VENEZIA",Macchine per scrivere,"OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI, Telefono n. 25.889",546
duse,Venezia - Via XXII Marzo,Mobile e Accessori,Forniture complete MOBILI e ACCESSORI per UFFICIO; Telefono 25.889,547
dusé,"Venezia - Via XXII Marzo, n. 2288",Office Furniture and Machinery,"Macchine per scrivere - Duplicatori - Accessori, Telefono n. 25-889",548
RDUSE,Venezia,Optical Repair,"Via XXII Marzo, 2288 - Telefono 25-889",549
duset,,SCHEDARI - MOBILI PER UFFICIO - MACCHINE CONTABILI MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,"VENEZIA - Via XXII Marzo, 2288 - Telefono 25-889",550
"Ditta ""Duse""",VENEZIA - Via XXII Marzo,2288,OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,551
Duse,,Machinery,Macchine per scrivere e Calcolatrici e Duplicatori OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI; VENEZIA - Via XXII Marzo 2288 - Telefono n. 25.889,552
duse,Venezia Via XXII Marzo,Mobile e Accessori per Ufficio,Telefono 25-889,553
duse,"VENEZIA - Via XXII Marzo, 2288",Macchine per scrivere,"OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI, Telefono 25-889",554
Duse,VENEZIA - Via XXII Marzo, 2288,Mobili e Accessori,555
d' Duse,VENEZIA - Via XXII Marzo,Office Supplies,MOBILI PER UFFICIO - MACCHINE CONTABILI - MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI - Telefono 25-889,556
Officina Riparazioni Duse,Via XIII Marzo n. 2288,Venezia,Telefono 23-333,557
dise,VENEZIA - Via XXII Marzo, 2288,Mobili per Ufficio,558
Officina Riparazioni Duse,Venezia,Repair,"Macchine per scrivere, Via XIII Marzo n. 2288, Telefono 25-250",559
dUSE,VENEZIA - Via XXII Marzo, 2288,Macchine per scrivere,560
Duse,VENEZIA · Via XXI Marzo, 2288,Mobili e Accessori,561
use,VENEZIA - Via XXII Marzo 2288,Macchine per scrivere - Calcolatrici - Duplicatori,Occasioni - Cambi - Ricostruzioni - Noleggi - Telefono n. 25.889,562
d'use,VENEZIA - Via XXII Marzo, 2288,Forniture,563
düse,"VENEZIA — Via XXII Marzo, n. 2288",SCHEDARI - MOBILI PER UFFICIO - MACCHINE CONTABILI,"MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI, Telefono n. 25-869",564
duse.,"VENEZIA - Via XXII Marzo, 2288",Officina Riparazioni,Telefono 25-889,565
Calzaturificio Soc. Coop. G. Sartori & C.,Strà,Shoes,"Specialità - Lavorazione a mano per uomo, signora e bambine",566
d' duse,Venezia - Via XXII Marzo n. 2288,Office Furniture,Società - Mobili per Ufficio - Macchine Calcolatori - Macchine per Scrivere - Duplicatori - Accessori - Telefono n. 25-889,566
d'USE,Via XXI Marzo, 2288,VENEZIA,567
"d' "" duse """,VENEZIA - Via XXII Marzo 2288,Macchine per scrivere,"OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI, Telefono n. 26.889",568
duse,VENEZIA - Via XXII Marzo,2288,Forniture,569
