Name,Address,Category,Additional Info,page
duse,VENEZIA - Via XXII Marzo,Office Equipment,MOBILI PER UFFICIO - MACCHINE CONTABILI - MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI; Telefono 25-889,494
d’use,Venezia,Office Supplies,"OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE - Via XXII Marzo, 2288 - Telefono 25-889",495
duso,Venezia - Via XXII Marzo 2288,Macchine per scrivere,Occasioni • Cambi • Ricostruzioni • Noleggi - Telefono n. 25.889,496
duse,Venezia - Via XXII Marzo,Mobile e Accessori,"forniture complete, Telefono 25-889",497
d'use,"VIA XXII Marzo 2288, Venezia",Machinery,"Macchine per scrivere - Calcolatrici - Duplicatori, OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI, Telefono n. 25.889",498
duse,VENEZIA - Via XXII Marzo,2288,Mobili e Accessori per Ufficio,499
duse,VIA XXII Marzo, 2288,Mobili per ufficio,500
OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,"VENEZIA, Via XXII Marzo, 2288",Machinery Repair,Telefono 25-889,501
duse,VENEZIA - Via XXII Marzo n. 2286,Macchine per scrivere,DUPLICATORI - ACCESSORI - Telefono n. 25-589,502
d' duse,"Venezia, Via VIII Marzo n. 2288",Officina Riparazioni,"Telefono 52-888, Macchine per scrivere",503
d.use,VIA XXII Marzo,Macchine per scrivere,Macchine per scrivere - Calcolatrici - Duplicatori OCCASIONI - CAMBI - RIPROSTINNO - NOLEGGIO Telefono 25-889,504
d'use,"VENEZIA • Via XXII Marzo, 2288",Fornitura,Telefono 25.889,505
Duse,Venezia,Macchine per scrivere,"Occasioni, Cambi, Ricostruzioni, Noleggi - Via XXII Marzo 2288 - Telefono n. 25.889",506
Gino Ferro,Via Bersaglio 345 - Chioggia,Maritime Agency,Rappresentanze,507
Donaggio Cesare & Figli,Chioggia,Forniture pescherecce,Rifornitore di attrezzi per pesca e caccia - Via Vena 919 - Telegrammi: DONAGGIO RETI,507
duse,"Venezia, Via XXII Marzo, 2288",Mobili,Forniture complete Mobili e Accessori per Ufficio - Telefono 25.889,507
BRUNO SCARPA,Stradale Ponte Caneva, 635, Lubricants,508
CIVIERO MARCELLO,Corso del Popolo, 111, Lubricants,508
d'USE,"VENEZIA · Via XXII Marzo, 2288",OFFICINA RIPARAZIONI,Telefon 25.889,509
dusa,VENEZIA - Via XXII Marzo,MACCHINE PER UFFICIO,MOBILI PER UFFICIO - MACCHINE CONTABILI - MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORITelefono n. 25-869,510
d'USE,,OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,"VENEZIA - Via XXII Marzo, 2288 - Telefono 25-889",511
Cav. A. Ballarin Denti,Chioggia,Marmette a mosaico,"Telegr. DENTI-CHIOGGIA; Materiale da costruzione; Mattanelle, Piottrini o tubi in cemento",512
duse,Venezia,Macchine per scrivere,OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI; Via XXII Marzo 2288; Telefono n. 25.889,512
Sassetto & Naccari,Riva S. Domenico, 876 - CHIOGGIA,Officina Meccanica,513
Ufficio Meccanico Iozzo Bruno,Riva Canal Lombardo 1417 - CHIOGGIA,Meccanica,Installazioni Motori Marini Riparazioni in genere,513
dUSe,VENEZIA - Via XXII Marzo, 2288,Macchine per scrivere - Calcolatrici - Duplicatori,514
d' duse,"VENEZIA - Via XXII Marzo, 2288",Office Supplies,"Forniture complete MOBILI e ACCESSORI per UFFICIO, Telefono 25-889",515
