Category,Page
Tipografie,167
Torba,167
Tornitori in legno,167
Torroni,167
Trapani e compressori elettrici,168
Trasformatori,168
Trasporti,168
Trasporti aerei,168
Trasporti carcerari,168
Trasporti con cisterna,168
Trasporti fluviali,169
Trasporti (ripristino mezzi),169
Trasporti funebri,169
"Trasporti marittimi, fluviali e terrestri",169
Trasporti e spedizioni,171
Trasporti postali,171
Trasporti servizi portuali,171
Trasporti per conto del Presidio Militare,172
Trattorie,172
Trebbbiatura,175
Trazione industriali,175
Tubi in cemento,175
Tubi in ferro e acciaio,175
Turaccioli,175
Turismo,176
Uova (ingrosso),176
Utensileria meccanica,176
Utensili,176
Utensili in acciaio,176
Utensili da taglio,176
Utensili e utensileria in genere,176
"Valigeria, pelletterie, articoli da viaggio",176
Vallicultura,177
Vele e bandiere,177
Vernici e smalti,177
Vernici sottomarine,177
Vestiario,177
Vetrate artistiche,177
Vetrerie in genere e lampadari,178
Vetrerie scientifiche e farmaceutiche,178
Vetri artistici,178
"Vetri, cristalli e specchi (stabilimenti, commercio, lavorazione)",179
Vetri decorati,180
Vetri diffusori,180
Vetri incisi,180
Vetri industriali,180
Vetri a lume,181
Vetra di Murano,181
Vetri neutri,181
Vetri sanitari,181
Vetro (lavorazione),181
Vetroflex (materiele),181
Vini (commercio enologico),181
Vini dettaglio (vedi osterie),127
Vini (grossisti),181
Vulcanizzazione gomma,183
Zincografie,183
Zolfo (depositi),183
Zuccherifici,183
Zucchero (commercio),183
