occupation_category_k10,Business & financial institutions,"Construction, carpentry & building materials",Education & academic institutions,"Fashion, textiles & personal goods retail","Governance, civic administration & institutional titles",Industrial & electrical trades,Legal & accounting professions,"Maritime, shipping & transport",Medical professions,Religious & civic institutions,"Restaurants, cafés & retail shops","Visual, decorative arts & antiques",Wholesale & agricultural suppliers
Education & academic institutions,17,0,92,0,8,1,21,6,6,0,1,0,0
"Fashion, textiles & personal goods retail",2,14,0,1739,10,137,0,15,51,0,112,63,73
"Food, grocery & pharmacy retail",1,3,0,4,1,12,0,24,267,0,1039,15,683
General commerce & advertising,216,24,8,5,100,31,7,211,368,1,8,54,10
"Governance, civic administration & institutional titles",67,4,4,0,1027,5,54,44,42,35,4,10,2
Hospitality & dining,23,5,2,5,23,6,0,12,110,24,624,6,30
"Industrial, technical & construction trades",9,507,2,61,7,902,0,18,61,0,12,82,80
Legal & professional titles,17,0,0,0,92,1,197,0,1,0,0,0,0
"Maritime, shipping & transport",5,56,0,4,4,14,0,917,18,0,2,1,2
Medical professions,2,0,0,0,10,8,0,0,303,0,2,0,0
"Property, banking & insurance businesses",224,0,0,0,0,0,0,1,0,0,0,0,0
Religious & civic institutions,8,0,0,0,44,0,0,0,0,90,4,11,6
Retail trade & consumer goods,78,90,9,75,37,100,3,34,158,9,41,46,110
"Visual, decorative arts & antiques",0,95,6,215,37,106,0,21,64,0,1,903,3
