n_rows,count
"Fashion, textiles & personal goods retail",2098
"Restaurants, cafés & retail shops",1843
"Governance, civic administration & institutional titles",1379
Industrial & electrical trades,1335
Medical professions,1309
"Maritime, shipping & transport",1266
"Visual, decorative arts & antiques",1185
Wholesale & agricultural suppliers,992
"Construction, carpentry & building materials",782
Business & financial institutions,670
Legal & accounting professions,383
Religious & civic institutions,160
Education & academic institutions,123
