Name,Address,Location,Category,Additional Info,page,location_cleaned
Ditta CARLO CASTIGLIONI,S. Marco 2402,,Meccanuficio,Concessionario per il Veneto: Italriproduttore Macchine per Ufficio,239,True
Ditta rag. RINALDO GRIFFINI,S. Marco 2402,,Meccanuficio,Concessionario per il Veneto: Italriproduttore Macchine per Ufficio,239,True
,Via XXII Marzo 2402,Mestre,Meccanuficio,Ufficio e Officina: tel. 22-507,239,False
Duse dr. Bruno,Via XXII Marzo 2288,Mestre,Meccanuficio,"Macchine per scrivere nuove e d'occasione, Accessori, Mobili per Ufficio, Tel. 25-589",239,False
,S. Marco 2402,,Meccanuficio,Meccanuficio,239,True
Olivetti Ing. C. & C. S. p. A.,"Bacino Orseolo, 1218",Mestre,Meccanuficio,"Macchine per scrivere da ufficio e portatili, Macchine contabili, Schedari visibili orizzontali synthesis, Telefono 24-118",239,False
Pellegrini cav. Giuseppe,c.p. S. Bartolomeo 5379,Mestre,Meccanuficio,",",239,False
Toppo Adriano,Castello 2684,,Meccanuficio,"Addizionatrici, Calcolatrici, Macchine Contabili, Agricole, Utensili, Enologiche, da Scrivere ecc., Tel. 23-285",239,True
Cantoni Giuseppe,Via Piave 17,Mestre,Macchine utensili,",",239,False
FIAT,S. Marco 181-A,,Macchine utensili,",",239,True
Leonardo FREDDI e Fratelli,S. Marco 181-A,,Macchine utensili,Tel. 50479 - Ottime occasioni,239,True
Freddi Leonardo,Via Amba Alagi,Mestre,Macchine utensili,Forniture industriali,239,False
Moschini Vittorio,campo S. Zaccaria,Mestre,Macchine utensili,Forniture industriali,239,False
VITTORIO MOSCHINI,Campo S. Zaccaria,Mestre,Macchine utensili,"Macchine per la lavorazione dei metalli e del legno, Esposizione Deposito: Tel. 26.562 - 21.201",239,False
