Name,Address,Location,Role,Additional Info,page
Colonnello Giovanni Lorenzon,,Piazza S. Marco - Palazzo ex Reale,Segretario,SEZIONE DI VENEZIA,97
cav. rag. Antonio Zanchi,,Piazza S. Marco - Palazzo ex Reale,Tesoriere,SEZIONE DI VENEZIA,97
Avvocato Bellini Augusto,,,Presidente,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Dr. Albi Giuseppe,,,Direttore,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Sigg. Naccari Aldo,,,Componenti in Consiglio Direttivo,Pres. Sez. di Chioggia,97
Gardin Romeo,,,Componenti in Consiglio Direttivo,Pres. Sez. di Pianiga,97
Bizzarro Nicola,,,Componenti in Consiglio Direttivo,Sez. di Musile di Piave,97
Abet Giuseppe,,,Componenti in Consiglio Direttivo,Sez. di Mira,97
Campagner Francesco,,,Componenti in Consiglio Direttivo,Sez. di Cuore,97
Lievorato Giulio,,,Componenti in Consiglio Direttivo,Sezione di Fiesse d'Artico,97
Ferro Ido Pietro,,,Componenti in Consiglio Direttivo,Sez. di Mestre,97
Trevisan Bruno,,,Componenti in Consiglio Direttivo,Sez. di Martellago,97
Sandrelli avv. Carlo,,,Sindaci,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Antuonovich rag. Giuseppe,,,Sindaci,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Lagomarsino rag. Mario,,,Sindaci,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Bellini avv. Augusto,,,Presidente,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Bondi dr. Italo,,,Vice Presidente,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Col. Tommaso Mazzocchi,,,Membri,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Sig. Trame Emilio,,,Membri,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Sig. De Marco Attilio,,,Membri,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Cav. Ugo Sereni,,,Membri,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Sig. Vitarelli Romano,,,Membri,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Rag. Mario Lagomarsino,,,Membri,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Pezzutti Renato,Sezione di Venezia - (ex Palazzo Reale),,Presidente,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Fabrizio Pier Costantino,Sezione di Venezia - (ex Palazzo Reale),,Vice P.es.,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Lazzaro Paolo,Sezione di Venezia - (ex Palazzo Reale),,Segretario del Consiglio,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Salvalaggio Ernesto,Sezione di Venezia - (ex Palazzo Reale),,Economo,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Cossali Benqui,Sezione di Venezia - (ex Palazzo Reale),,Consiglieri,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Campano Silvio,Sezione di Venezia - (ex Palazzo Reale),,Consiglieri,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Carlon Eugenio,Sezione di Venezia - (ex Palazzo Reale),,Consiglieri,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Coletti Attilio,Sezione di Venezia - (ex Palazzo Reale),,Consiglieri,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Lamberti Giorgio,Sezione di Venezia - (ex Palazzo Reale),,Consiglieri,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Levi Raffaello,Sezione di Venezia - (ex Palazzo Reale),,Consiglieri,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Mariolini Mino,Sezione di Venezia - (ex Palazzo Reale),,Consiglieri,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Marchiini Giorgio,Sezione di Venezia - (ex Palazzo Reale),,Consiglieri,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Pastega Giorgio,Sezione di Venezia - (ex Palazzo Reale),,Consiglieri,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Scarpa Stefano,Sezione di Venezia - (ex Palazzo Reale),,Consiglieri,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Zanotto Giuseppe,Sezione di Venezia - (ex Palazzo Reale),,Consiglieri,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Fuga Mario,Sezione di Venezia - (ex Palazzo Reale),,Sindaci,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Valentini Elio,Sezione di Venezia - (ex Palazzo Reale),,Sindaci,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Paolin Riccardo,Sezione di Venezia - (ex Palazzo Reale),,Sindaci,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Cadel Rodolfo,Sezione di Venezia - (ex Palazzo Reale),,Sindaci supplent.,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Seguso Guido,Sezione di Venezia - (ex Palazzo Reale),,Sindaci supplent.,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Filipponi ten. col. Giovanni,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,UNIONE NAZIONALE UFFICIALI IN CONGEDO D'ITALIA,Capo Gruppo regionale,ASSOCIAZIONE NAZIONALE COMBATTENTI,97
Rossi dr. Giuseppe Ferruccio,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Palazzo ex reale,Presidente,ASSOCIAZIONE NAZIONALE REDUCI,97
Marconi dr. Mario,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Palazzo ex reale,V. Pres.,ASSOCIAZIONE NAZIONALE REDUCI,97
Marcosanti avv. Guglielmo,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Palazzo ex reale,Segretario,ASSOCIAZIONE NAZIONALE REDUCI,97
Campi Giovanni,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Palazzo ex reale,Membri,ASSOCIAZIONE NAZIONALE REDUCI,97
Russo Ettore,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Palazzo ex reale,Membri,ASSOCIAZIONE NAZIONALE REDUCI,97
Bellavitis Michele,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Palazzo ex reale,Membri,ASSOCIAZIONE NAZIONALE REDUCI,97
Sartori Olindo,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Palazzo ex reale,Membri,ASSOCIAZIONE NAZIONALE REDUCI,97
Scarpa col. Angelo Paolo,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Portogruaro:,Pres.,ASSOCIAZIONE NAZIONALE REDUCI,97
Galassini Ezio,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,S. Donà di Piave:,Pres.,ASSOCIAZIONE NAZIONALE REDUCI,97
Bonto Bruno,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Dolo:,Pres.,ASSOCIAZIONE NAZIONALE REDUCI,97
Rossi dr. Giuseppe Ferruccio,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Palazzo ex reale,Presidente,ASSOCIAZIONE NAZIONALE REDUCI,97
Campi Giovanni,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Palazzo ex reale,V. Pres.,ASSOCIAZIONE NAZIONALE REDUCI,97
Marcosanti avv. Guglielmo,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Palazzo ex reale,Segretario,ASSOCIAZIONE NAZIONALE REDUCI,97
Marconi dr. Mario,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Palazzo ex reale,Membri,ASSOCIAZIONE NAZIONALE REDUCI,97
Russo Ettore,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Palazzo ex reale,Membri,ASSOCIAZIONE NAZIONALE REDUCI,97
Bellavitis Michele,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Palazzo ex reale,Membri,ASSOCIAZIONE NAZIONALE REDUCI,97
Sartori Olindo,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Palazzo ex reale,Membri,ASSOCIAZIONE NAZIONALE REDUCI,97
Cini Guido,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Palazzo ex reale,Membri,ASSOCIAZIONE NAZIONALE REDUCI,97
Russo Aldo,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Palazzo ex reale,Membri,ASSOCIAZIONE NAZIONALE REDUCI,97
Valente Mario,Gruppo regionale Veneto e Venezia Tridentina - S. Marco Ascensione,Palazzo ex reale,Membri,ASSOCIAZIONE NAZIONALE REDUCI,97
Vedova Gino,"COMITATO PROVINCIALE DI VENEZIA, Sede S. Marco ex Palazzo Reale. Stanza 32",A. N. P. I. ASSOCIATION NAZIONALE PARTIGIANI D'ITALIA,Segretario,ASSOCIAZIONE NAZIONALE REDUCI,97
Glatz Arturo,"COMITATO PROVINCIALE DI VENEZIA, Sede S. Marco ex Palazzo Reale. Stanza 32",A. N. P. I. ASSOCIATION NAZIONALE PARTIGIANI D'ITALIA,Organizzatore,ASSOCIAZIONE NAZIONALE REDUCI,97
Biondo Renzo,"COMITATO PROVINCIALE DI VENEZIA, Sede S. Marco ex Palazzo Reale. Stanza 32",A. N. P. I. ASSOCIATION NAZIONALE PARTIGIANI D'ITALIA,Stampa,ASSOCIAZIONE NAZIONALE REDUCI,97
Bellini Biancomspina,"COMITATO PROVINCIALE DI VENEZIA, Sede S. Marco ex Palazzo Reale. Stanza 32",A. N. P. I. ASSOCIATION NAZIONALE PARTIGIANI D'ITALIA,Assistenza,ASSOCIAZIONE NAZIONALE REDUCI,97
Daisie Giorgio,"COMITATO PROVINCIALE DI VENEZIA, Sede S. Marco ex Palazzo Reale. Stanza 32",A. N. P. I. ASSOCIATION NAZIONALE PARTIGIANI D'ITALIA,Lavoro,ASSOCIAZIONE NAZIONALE REDUCI,97
Gallo Paolo,"COMITATO PROVINCIALE DI VENEZIA, Sede S. Marco ex Palazzo Reale. Stanza 32",A. N. P. I. ASSOCIATION NAZIONALE PARTIGIANI D'ITALIA,Vice Segretario,ASSOCIAZIONE NAZIONALE REDUCI,97
Lagomarsino Mario,"COMITATO PROVINCIALE DI VENEZIA, Sede S. Marco ex Palazzo Reale. Stanza 32",A. N. P. I. ASSOCIATION NAZIONALE PARTIGIANI D'ITALIA,Amministratore,ASSOCIAZIONE NAZIONALE REDUCI,97
Giovannini ammiraglio Gio. vanni,Piazza S. Marco 153-A,SOCIETA' DELL'UNIONE,Presidente,ASSOCIAZIONI VARIE,97
Alteniero cav. dott. Avogadro degli Azzoni,Piazza S. Marco 153-A,SOCIETA' DELL'UNIONE,Consiglieri,ASSOCIAZIONI VARIE,97
avv. Angelo Bianchini,Piazza S. Marco 153-A,SOCIETA' DELL'UNIONE,Consiglieri,ASSOCIAZIONI VARIE,97
dr. Antonio Cà Zorzi,Piazza S. Marco 153-A,SOCIETA' DELL'UNIONE,Consiglieri,ASSOCIAZIONI VARIE,97
Nob. ing. Antonio Rossi,Piazza S. Marco 153-A,SOCIETA' DELL'UNIONE,Consiglieri,ASSOCIAZIONI VARIE,97
