Name,Address,Location,Role,Additional Info,page
Milani Padre Francesco,1. San Cristofore,,PARROCCHIE E SUCCURALI,Parroco,88
Cingano padre Antonio,2. S. MARZIALE (S. MARSILIAN),,PARROCCHIE E SUCCURALI,Rettore,88
Selmo padre Michele O. S. M.,3. S. Elena,,PARROCCHIE E SUCCURALI,Parroco,88
Barbaro don Giovanni,4. SS. Ermagora e Fortunato (S. Marcuola),,PARROCCHIE E SUCCURALI,Parroco,88
Zannoni don Oscar,4. SS. Ermagora e Fortunato (S. Marcuola),,PARROCCHIE E SUCCURALI,Cooperatore,88
Valentini Don Bruno,5. SANTA FOSCA,,PARROCCHIE E SUCCURALI,Vicario,88
Gabrielli don Giovanni,6. SANTA MARIA MADDALENA,,PARROCCHIE E SUCCURALI,Rettore,88
Poloni don Antonio,7. S. Eufemia della Giudecca,,PARROCCHIE E SUCCURALI,Parroco,88
Toniato don Giuseppe,7. S. Eufemia della Giudecca,,PARROCCHIE E SUCCURALI,Cooperatore,88
Chiocchiole don Alessandro,8. S. MARIA DELLA PRESENTAZIONE (ZITELLE),,PARROCCHIE E SUCCURALI,Rettore,88
Caburlotto mons. Giovanni,9. San Felice,,PARROCCHIE E SUCCURALI,Parroco,88
Candiani don Carlo,9. San Felice,,PARROCCHIE E SUCCURALI,Cooperatore,88
De Marchi prof. don Flaminio,10. SANTA SOFIA,,PARROCCHIE E SUCCURALI,Vinerio,88
Crivellari dr. E. Pio O.F.M.,11. S. Francesco della Vigna,,PARROCCHIE E SUCCURALI,Parroco,88
Catullo don Luigi,12. San Geremia,,PARROCCHIE E SUCCURALI,Parroco,88
Pagan don Germano,12. San Geremia,,PARROCCHIE E SUCCURALI,Cooperatore,88
Barbieri don Fabio,13. SAN GIOBBE,,PARROCCHIE E SUCCURALI,Vicario,88
Bevilacqua don Giovanni,14. SANTA MARIA DELLE PENITENTI,,PARROCCHIE E SUCCURALI,Cappellano,88
Turchetto don Riccardo,15. SS. Gervasio e Protasio (S. Trovaso),,PARROCCHIE E SUCCURALI,Parroco,88
Barechia don Gastone,16. SAN SEBASTIANO,,PARROCCHIE E SUCCURALI,Vicario,88
Rossi don Antonio,17. San Giacomo dall’Orio,,PARROCCHIE E SUCCURALI,Parroco,88
Galuppo don Giuseppe,17. San Giacomo dall’Orio,,PARROCCHIE E SUCCURALI,Cooperatore,88
D’Este cav. don Luigi,18. SAN GIOVANNI DECOLLATO,,PARROCCHIE E SUCCURALI,Vicario,88
