Category,Page
Ricuperi autarchici,146
Ricuperi detriti carbone," ceneraccia, 146"
Ricuperi marittimi,146
Ricuperi navali,146
Rincrocchi,146
Riparazioni autoveicoli,147
Riparazioni barche e motori,147
Riparazioni calzature e cappelli,147
Riparazioni carrozzerie per auto,147
Riparazioni impianti tecnici e igienici,147
Riparazioni riavvolgimenti macchine e,".lettriche, 147"
Riparazioni sacchi,147
Riscaldamento,147
Riscaldamento e fumisteria,147
Riscaldamento e termosifoni,147
Riserie,147
Ristoranti,149
Ristoranti vegeteriani,149
Rivestimenti,149
Rosticcerie,149
Rottami metallici,149
Sabbia,149
Saccherie ed affini,149
Sacchetti di carta,149
Saggina,149
"Saldature autogene, elettriche, elettrostatiche",149
Saloni,149
Salumi (grossisti negozi),149
Salvagenti,149
"Saponi comuni, medicinali e profumati",150
Sarte,150
Sarti da Uomo,151
Sartorie e confezioni per signora,153
Sartorie e confezioni per uomo,153
Scaldabagni elettrici,153
Scatole,154
Schedari,154
Sciroppi,154
Scope,154
Scuole di dattilografia,154
Scuole di taglio,154
Segherie,154
Segnalazioni luminose,154
Sego,154
Sementi,154
Semiottiche,154
Serramenti,154
Sfererie,154
Seterie e lenerie,155
Smalti,155
Smalti e ori per mosaici,155
Società di assicurazioni,
Società immobiliari,156
Società minerarie,156
Società mobiliari e agricole,156
Società di navigazione,156
Soffrerie,157
Solfato di soda e magnesio,157
"Specchi veneziani, vetri, cristalli e specchi",157
Specialità veneziane,158
Spedizioni e trasporti,160
Spettacoli educativi e morali,160
Scuole,160
Stabilimenti bagni e doccie (vedi bagni pubblici),160
Stoffe per arredamenti,160
Stoffe per mobili,161
Stoffe e tessuti,161
Stracci,161
Strumenti musicali,161
Stucchi,161
Stufe,161
Sughero,161
Surrogati di caffè,161
Sviluppo aziende,162
Tabacchi (depositi),162
Tabaccherie (rivendite di Stato),162
Tappeti (fabbriche),163
Tappeti persiani,163
Tappetterie,163
Targhe,164
Teatri,164
Telefoni,164
Telerie,164
Telerie per vele e bandiere,164
Tendaggi,164
Termometri,164
"Terraglie, porcellane e affini",164
Terrazai,165
Tessili,165
Tessitature seriche per l'arredamento,165
Tessuti,165
Tessuti d'arte,165
"Tessuti, filati, (manifatture, commercio)",165
Tessuti serici,166
Tessuti serici d'arte,166
Tessuti stampati e artistici,166
"Timbri di gomma, in metallo e incisioni",166
Tintorie e puliture a secco,166
Tintorie per abiti," stoffe ecc., 166"
