page_num,Profession,n_rows,n_unique_names
340,Consigliere,7,7
342,vice direttore,13,13
356,Agenzia P. Bortoluzzi,49,49
366,Lavorazione artistica mosaici in smalto di vetro Veneziano,47,47
367,Lavorazione artistica mosaici in smalto di vetro Veneziano,45,45
369,Lavorazione artistica mosaici in smalto di vetro Veneziano,54,54
370,Lavorazione artistica mosaici in smalto di vetro Veneziano,23,23
371,Giovanni e Paolo,37,36
372,Vendita e Mobilizzi,52,50
373,Vendita e Mobilizzi,43,41
374,Vendita e Mobilizzi,47,47
375,Vendita e Mobilizzi,53,48
376,Vendita e Mobilizzi,44,43
377,Vendita e Mobilizzi,43,43
378,Vendita e Mobilizzi,41,41
379,Vendita e Mobilizzi,55,53
380,Vendita e Mobilizzi,50,50
381,Vendita e Mobilizzi,50,48
382,Vendita e Mobilizzi,51,51
384,Vendita e Mobilizzi,58,56
389,panificio. SS.,53,50
391,parroco S. Maria del Rosario (Gesuitati),46,45
392,parroco S. Maria del Rosario (Gesuitati),40,36
395,parroco S. Maria del Rosario (Gesuitati),37,35
396,parroco S. Maria del Rosario (Gesuitati),44,44
411,industria,20,20
412,industria,43,43
413,industria,17,17
414,industria,55,53
415,industria,42,42
431,avv.,5,5
443,Rappresentante di case produttrici di medicinali,38,38
445,Rappresentante di case produttrici di medicinali,51,47
446,Rappresentante di case produttrici di medicinali,49,47
447,Rappresentante di case produttrici di medicinali,48,46
458,illuminazione pubblica,11,11
458,numero. 920,17,17
459,illuminazione pubblica,32,32
460,illuminazione pubblica,22,22
461,S.A.,13,13
465,Azienda Idroelettrica,5,5
465,Società Cementi Armati Centrifugati,5,5
466,Società MARE,26,25
467,ARTI GRAFICHE ESPERIA,34,34
468,ARTI GRAFICHE ESPERIA,43,43
469,ARTI GRAFICHE ESPERIA,14,14
469,Alimentari (Dett.),6,6
