category_class,address,lat,lon,n_entries,sample_names
"Textiles, clothing",Giudecca 52,45.42656686310661,12.337975498156142,7,Gaspè-uzzo Primo | Gasperuzzo Primo | Gasparuzzo Primo | Gheller Galliamo | Giarcozzi Irma
"Textiles, clothing",S. Marco 5177,45.43745952571061,12.336648541524134,7,Bagiolotto Umberto | Bagiottuto Umberto | Bagliotto Attilio | Bonotto Pierina | Bagiotto Umberto
"Textiles, clothing",Cannaregio 1374,45.44386481673949,12.327772239893475,6,Stefanatti Stefano | Stefanutti Stefano | Stefanutti Stefano | Stefanutti Stefano | Stefanutti Stefano
"Food, grocery & hospitality trade",Riva dei Sette Martiri,45.4310715,12.352603,33,Pint Gemma | Pinto Lorenzo | Puppini Mario | Pilot Bona | Piovesan Ampelio
"Food, grocery & hospitality trade",Riva Schiavoni 4202,45.4336541,12.347001,10,Galleria d'arte del Cavallino | Mazzarini Giuseppe | Maestrello Virginia | Cigana Emma | Censi Elena
"Food, grocery & hospitality trade",fdm. Vetrai 73,45.44215667611218,12.321542717171708,9,Stanghet Noemi | Tasseto Alberto | Toiozzo Giovanni | Toffoli Eugenio | Toffolon Giovanni
"Real estate, construction & business services",S. Marco 4232,45.43518683143428,12.334061639857394,17,Miana Serraglio S. A. | Fonderia Alvisopoli S. A. | Pan Soc. An. Immobiliare | Fabbricati Urbani Terreni Agricoli Industriali FUTAI | Soc. An. AFFER
"Real estate, construction & business services",S. Marco 410,45.435351563582834,12.339931878594538,11,Società Agricola Valli Immobili | S. A. Gestione Industriale Terreni S. A. G. I. T. M. | Soc. An. Immobiliare Investimenti Gestioni | Soc. An. Immobiliare Mestre | Soc. An Fortunite SAF
"Real estate, construction & business services",S. Marco 3870,45.435239012731024,12.330603297709525,8,S. Giorgio Nova — Soc. an. I. I. | Società Acquisto Gestion: Miglioramento Edilizia | S.A.F.A. Soc. An. | Buttaro Carlo | Costruzioni Edilizie Mazulo & C. Soc.
"Legal, financial & administrative professions ",Calle Larga S. Marco 383,45.43540779135305,12.340214840511615,15,Candiani dott. Luigi | Piamonte dott. Giambattista | Bisacco Palazzi Ing. Giacomo | Brunetti dott. Faustino | De Biasi avv. Attilio
"Legal, financial & administrative professions ",Rialto 199,45.43919236791097,12.335370469330044,9,Bruno dr. Gustavo | Capitolo dr. Manlio | Capogrosso Adolfo G. | Carnesecchi' dr. Gianfranco | Fattovich dr. Giovanni
"Legal, financial & administrative professions ","S. Trovaso, Palazzo Giustinian",45.4341644,12.3266081,8,Azzini dr. Ferruccio | Citti il prof. dr. Guido | Crepar dr. Enrico | Crossaro dr. ing. Tullio | Fabris dir. Cesare
"Decorative arts, photography, antiques & artisan crafts","S. Polo, 1479",45.437584262012926,12.331460711144237,12,Zago F. LLI | ZAGO F. LLI | ZAGO F.LLI | ZAGO F.LLI | ZAGO F. LLI
"Decorative arts, photography, antiques & artisan crafts",S. Polo 1478,45.43748424601135,12.331488308121076,6,Zago F.lli | F.lli ZAGO | F.lli Ritratti artistici | ZAGO F.LLI | ZAGO. F.LLI
"Decorative arts, photography, antiques & artisan crafts",S. Marco 3536,45.43415845382437,12.331372393203685,5,Varneck Augusto | Verneker Augusto | Warnecker Augusto | Varnecke Augusto | Verneser Augusto
"Transport, shipping & maritime trades","San Marco, 1341",45.43312110019173,12.336789262038083,12,Ditta Carlo Tonolo fu Matteo | Radoniceich fu D. | Radonicich D. D. Lloyds Agent | Celle Serveri G. | Ferroni Francesco
"Transport, shipping & maritime trades",S. Polo 2999,45.43695381986712,12.327208249946883,10,Abruzzese S. A. di Navigazione | Adriatica Soc. An. di Navigazione | De Bei Ammiraglio Carlo | Benesi gr. uff. rag. prof. Alessandro | Battistella gr. uff. rag Giacomo d ' Araldo proff. Marcantonio
"Transport, shipping & maritime trades","San Marco, 2474",45.43200104585448,12.332896718722816,10,Meneghini e C. di Meneghini Vincenzo | Neermann Gastone | Neerman Gastone | Meneghini e C. » di Meneghini Vincenzo | Persico Orlando
"Chemicals, fuel, construction materials & raw materials",S. Polo 1957,45.4375438097882,12.330412090142092,9,Anonima Carboni S. A. | S. A. Carbuoli | Soc. An. Gaslini | Anonima Carboni S. A. | Azienda Generale Italiana Petroli A.G.I.P.
"Chemicals, fuel, construction materials & raw materials",S. Marco 181-A,45.434752494549784,12.33854573986131,7,Fiat | Vetroceke | Soc. A. Gestione Autoriemesse | Soc. An. Lubrificanti | Tagliabue Giuseppe
"Chemicals, fuel, construction materials & raw materials",San Marco 4090,45.436416563394495,12.333374743047658,6,Cominet Commercio Minerali e metalli Soc. in acc.  sempl Ing. Alessandro e Marcello Barnabo e C. | Presabona Società Anonima Mineraria | Cominet Commercio Minerali e Metalli Soc. im acc. sempl. Ing. Alessandro e Marcel. Barnabe e C. | FIAT | Farmaceutica Veneziana
"Office equipment, electrical, mechanical & industrial trades",Castello 2684,45.43624013515933,12.348573736136128,7,Toppo Adriano | Toppo Adriano | Dal Soldà Giuseppe | Toppo Adriano | Toppo Adriano
"Office equipment, electrical, mechanical & industrial trades","Campo S. Felice 3683,84",45.441845551519094,12.332958207345907,6,Rebuffi F.lli Soc. | Rebuffi F.lli Soc. in nome Collettivo | REBURFI F.LLI SOC. IN NOME COLLETTIVO | Rebuffo Fratelli (Ditta) | Silvio Ferraboschi
"Office equipment, electrical, mechanical & industrial trades",S. Marco n. 264,45.43521760908767,12.33858869704527,5,Cometti Cesare e Radio Marelli | Corneetti Cesare di Callisto | Ditta ADOLFO RAITANO | Cornetti Cesare | Cornetti Cesare
Institutions/companies,S. Polo 524,45.43826628271637,12.335065107878956,15,Dal Palù dr. Giuseppe | D'Aquino rag. Giacomo | Cedolin rag. Giorgio | Fasuile dr. Amedeo | Plastra dr. Carlo
Institutions/companies,"Venezia - Rialto Rughetta Ravano 1052-53, Tel. 24-738",45.43802273857681,12.333014831835076,3,Querci Della Rovere (Ditta) | Querci Della Rovere | Quintarello dr. Luigi
Institutions/companies,San Marco 1497,45.4334527587634,12.336541399000613,2,Prudentino Vito | Pectea cav. Giuseppe
general retail,S. Marco numero 3895,45.435090293094234,12.331088167069767,2,Nisaniakas cav. Emanuele | Nisati avv. Armando
general retail,S. Marco Ponte delle Ostperte 2533,45.43289075708246,12.333035526347164,2,S. A. Azienda Nazionale Consumatori Carburante | Zamarach & Venetti
general retail,S. Marco 4945-57,45.43629680965356,12.337429433072709,2,S.M.A.M.A. di Temin Aldo | ISIA S. An. Industria Seta Italia Americana
Religious institutions & clergy,Rialto 10,45.43812438992038,12.335766125363076,2,Urhani dr. mons. Giovanni | Urhani mons. Salvatore
Religious institutions & clergy,Giudecca 39,45.42686284973504,12.338619401669852,1,"Tenderini don Albino,"
Religious institutions & clergy,S. Polo 3089,45.437071687978424,12.324209319241758,1,Capoia don Miu'o
"Culture, entertainment & leisure",S. Marco 616,45.43573006775794,12.338755415264156,5,Cinema Teatro Rossini | Cinema Tirana | Cinema Excelsior | GESTIONES cINEAA TEATRI - MESTRE | Cinema Giudecca
"Culture, entertainment & leisure",San Polo 1206,45.436850684555274,12.332233861824102,4,"Varieta Industria Spettacoli ""V.1.S."" | Cinema Accademia | Cinema Concordia | Varietà Industria Spettacoli é VBS"
"Culture, entertainment & leisure",Piazza S. Marco 79,45.433992960572446,12.337133288456046,2,Degani | Degan Antonio
