category,n_rows
Office & mechanical equipment (ad-dominated),970
Medical professions,620
General goods trade,617
Government offices / State administration,461
Visual and decorative arts,447
Religious & civic institutions,377
Sales representatives / Commercial agents,372
Transport and maritime,283
Industry and construction,234
General goods trade (ad-dominated),207
Technical/engineering professions,158
Address fragments / non-profession,124
Governance and leadership titles,110
Education,92
Administration & directorship,83
General retail shops,80
Food & grocery retail,79
Language education,73
Civic associations & clubs,67
Provincial and state institutions,57
Real estate & rentals,54
Economic administration (academic),54
"Institutions, press and political parties",42
'Capo' titles (mixed domains),39
Legal & accounting,36
Law and judiciary (academic),35
Sports organizations,26
Food & hospitality,23
Textile and tailoring,13
Companies/business entities,13
Trade guild categories,9
Personal care,3
