Name,Address,Location,Role,Additional Info,page
SOMMO PONTEFICE S. S. PIO XII,,,SOMMO PONTEFICE,(Eugenio Pacelli) (CCXLII dopo S. Pietro) nato a Roma il 2 marzo 1876 - Eletto Pontefice il 2 marzo 1939,36
GENNARO GRANITO PIGNATELLI DI BELMONTE,,,Vescovo di Ostia e di Albano,Decano del Sacro Collegio,36
ENRICO SIBILIA,,,Vescovo di Sabina e Poggio Mirteto,",",36
ENRICO GASPARRI,,,Vescovo di Velletri,",",36
FRANCESCO MARCHETTI SELVAGGIANI,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,Vescovo di Frascati,",",36
EUGENIO TISSERANT,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,Vescovo di Porto e Santa Sabina,",",36
CARLO SALOTTI,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,Vescovo di Palestrina,",",36
GREGORIO PIETRO AGAGIANIAN,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. S. Bartolomeo all’Isola,Patriarca di Cilicia degli Armeni,36
ALESSIO ASCALLESI,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. di San Callisto,Arc. di Napoli,36
BENEDETTO ALOISI MASELLA,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. S. Maria in Vallicella,",",36
MICHELE DE FAULHABER,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. di Sant’Anastasia,Arc. di Monaco e Frisinga,36
DIONISIO DOUGHERTY,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. dei Santissimi Nereo ed Achilleo,Arc. di Filadelfia,36
CLEMENTE MICARA,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. S. Maria sopra Minerva,",",36
ADAMO STEFANO SAPIEHA,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. S. Maria Nuova e S. Francesca Rom,Arc. Cracovia,36
EDOARDO MOONEY,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. S. Susanna,Arc. di Detroit,36
GIOVANNI BATTISTA NASALLI-ROCCA DI CORNELIANO,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. di S. Maria in Traspontina,Arc. di Bologna,36
GIULIO SALEIGE,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. Arc. di Tolosa,",",36
GIACOMO CARLO MC GUIGAN,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. Sta. Maria del Popolo,Arc. Toronto,36
ALESSANDRO VERDE,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. di S. Maria in Cosmedin,",",36
SAMUELE STRITCH,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. di S. Agnese fuori le mura,Arc. di Chicago,36
GIUSEPPE ERNESTO VAN ROEY,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. di S. Maria in Aracoeli,Arc. di Malines,36
AUGUSTO HLOND,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. di S. Maria della Pace,Arc. di Gnesua e Posnania,36
PIETRO SEGURA Y SAENZ,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. di S. Maria in Trastevere,Arc. di Siviglia,36
AGOSTINO PARRADO Y GARCIA,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. S. Agostino,Arc. di Granata,36
ALFREDO IDELFONSO SCHUSTER,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. dei Santi Silvestro e Martino ai Monti,Arc. di Milano,36
EMANUELE CONCALVES CEREJEIRA,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. dei Santi Marcellino e Pietro,Patriarca di Lisbona,36
LUIGI LAVITRANO,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. di S. Silvestro in Capite,Arc. di Palermo,36
EMILIO ROQUES,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. S. Balbina,Arc. di Rennes,36
GIOVANNI DE JONG,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,Arc. di Utrecht,",",36
CARLO CARMELO DE VASCONCELLOS MOTTA,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,tit. di S. Pancrazio,Arc. di S. Paolo del Brasile,36
