Name,Address,Location,page
Contex,S. Maria di Sala,Fossalta di Piave,492
Corbolone,S. Maria di Sala,S. Stino di Livenza,492
Cortellazzo,S. Maria di Sala,Jesolo,492
Crea,S. Maria di Sala,Spinea,492
Croc di Piave,S. Maria di Sala,Musile,492
DOLO,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
Fae,S. Maria di Sala,Annone Veneto,492
FIESSO D'ARTICO,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
Fiumicino,S. Maria di Sala,Torre di Mosto,492
Foresto,S. Maria di Sala,Cona,492
Formighè,S. Maria di Sala,Ceggia,492
Fornase,S. Maria di Sala,Spinea,492
Fossà,S. Maria di Sala,Ceggia,492
FOSSALTA DI PIAVE,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
FOSSALTA DI PORTOGRUARO,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
Fossetta,S. Maria di Sala,Musile,492
FOSSO,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
Grassaga,S. Maria di Sala,S. Donà di Piave,492
Fratta,S. Maria di Sala,Fossalta di Portogruaro,492
Gaggio,S. Maria di Sala,Marcon,492
Gainiga,S. Maria di Sala,Ceggia,492
Gambarare,S. Maria di Sala,Mira,492
Giati,S. Maria di Sala,Annone Veneto,492
Giati,S. Maria di Sala,Cavarro,492
Giusvago,S. Maria di Sala,Portogruaro,492
Gonfo,S. Maria di Sala,Fossalta di Piave,492
Gorgo,S. Maria di Sala,Fossalta di Portogruaro,492
GRISOLERA,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
GRUARO,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
Isiata,S. Maria di Sala,S. Donà di Piave,492
JESOLO,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
Lampol,S. Maria di Sala,Fossalta di Piave,492
Largan,S. Maria di Sala,Grisolera,492
Lido di Jesolo,S. Maria di Sala,Jesolo,492
Liettoli,S. Maria di Sala,Camponogio Maggiore,492
Lison,S. Maria di Sala,Portogruaro,492
Livenzuola,S. Maria di Sala,Grisolera,492
London,S. Maria di Sala,Annone Veneto,492
Losson della Battaglia,S. Maria di Sala,Meolo,492
Lugo,S. Maria di Sala,Camponogara,492
Lugietta,S. Maria di Sala,Camponogara Lupia,492
Longo,S. Maria di Sala,Camponogara Lupia,492
Lova,S. Maria di Sala,Camponogara Lupia,492
Luciugnana,S. Maria di Sala,Portogruaro,492
Maerne,S. Maria di Sala,Martellago,492
Malafesta,S. Maria di Sala,S. Michele al Tagliamento,492
Marano,S. Maria di Sala,Mira,492
MARCON,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
MARTELLAGO,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
Martignon,S. Maria di Sala,Pramaggiore,492
Melladò,S. Maria di Sala,Pianiga,492
MEOLO,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
MIRA,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
MIRANO,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
Moniego,S. Maria di Sala,Noale,492
Monsolo,S. Maria di Sala,Cona,492
MUSILE DI PIAVE,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
Musesa,S. Maria di Sala,S. Donà di Piave,492
NOALE,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
Noghera,S. Maria di Sala,Ceggia,492
NOVENTA DI PIAVE,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
Oltreboassa,S. Maria di Sala,Annone Veneto,492
Orgnano,S. Maria di Sala,Spinea,492
Oriago,S. Maria di Sala,Mira,492
Palazzetto,S. Maria di Sala,S. Donà di Piave,492
Paluda,S. Maria di Sala,Grisolera,492
Palu della Salais,S. Maria di Sala,Musile,492
Paludello,S. Maria di Sala,Musile,492
Paludello,S. Maria di Sala,Stra,492
Passarella di Sotto,S. Maria di Sala,Jesolo,492
Passarella,S. Maria di Sala,S. Donà di Piave,492
Pegollette,S. Maria di Sala,Cona,492
PIANIGA,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
Porteglandi,S. Maria di Sala,S. Michele del Quarto,492
PORTOGRUARO,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
Portovecchio,S. Maria di Sala,Portogruaro,492
Prabelleol,S. Maria di Sala,Pramaggiore,492
Pra d'Arca,S. Maria di Sala,Ceggia,492
Pra di Levada,S. Maria di Sala,Ceggia,492
Pradiupozzo,S. Maria di Sala,Portogruaro,492
Pradi,S. Maria di Sala,"S. Michel,  al Tagliamento",492
PRAMAGGIORE,S. Maria di Sala,DELLA PROVINCIA DI VENEZIA,492
Prattinovi,S. Maria di Sala,"S. Michel,  al Tagliamento",492
Premore,S. Maria di Sala,Camponogara,492
Pruozolo,S. Maria di Sala,Campolongara,492
Revedoli,S. Maria di Sala,Grisolera,492
Ritvale,S. Maria di Sala,Pianiga,492
Rivazzanzana,S. Maria di Sala,Ceggia,492
Roheagno,S. Maria di Sala,Salzano,492
Ronche,S. Maria di Sala,Fossalta di Piave,492
Rossignano,S. Maria di Sala,Spinea,492
