Name,Address,Location,Role,Profession,Additional Info,Journal,page
Pag. Abat jours . . . . . . . . . . .1,Tribunale Diocesano »Metropolitano»,Affittuavi Coltivatori Diretti e Mezzadri,,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",",",22
Pag. Abbigliamento . . . . . . 1,Tribunale Diocesano »Metropolitano»,Affittuavi Coltivatori Diretti e Mezzadri,,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",",",22
Pag. Abbigliamento per bambini e ragazzi . . . 2,Tribunale Diocesano »Metropolitano»,Affittuavi Coltivatori Diretti e Mezzadri,,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",",",22
Pag. Abiti confezionati . . . . 2,Tribunale Diocesano »Metropolitano»,Affittuavi Coltivatori Diretti e Mezzadri,,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",",",22
Pag. Abiti (riparazioni) . . . . 2,Tribunale Diocesano »Metropolitano»,Affittuavi Coltivatori Diretti e Mezzadri,,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",",",22
Pag. Accessori per auto e lubrificanti . . . 2,Tribunale Diocesano »Metropolitano»,Affittuavi Coltivatori Diretti e Mezzadri,,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",",",22
Pag. Accessori per imballaggio . . . . . 2,Tribunale Diocesano »Metropolitano»,Affittuavi Coltivatori Diretti e Mezzadri,,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",",",22
Pag. Acciai . . . . . . . . . . . . . 2,Tribunale Diocesano »Metropolitano»,Affittuavi Coltivatori Diretti e Mezzadri,,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",",",22
Pag. Accordatori di pianoforti . . . . . 2,Tribunale Diocesano »Metropolitano»,Affittuavi Coltivatori Diretti e Mezzadri,,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",",",22
Pag. Accumulatori . . . . . . . . 2,Tribunale Diocesano »Metropolitano»,Affittuavi Coltivatori Diretti e Mezzadri,,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",",",22
Pag. Aceto (fabbriche) . . . . . 2,Tribunale Diocesano »Metropolitano»,Affittuavi Coltivatori Diretti e Mezzadri,,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",",",22
Pag. Acqua di colonia (fabbriche) . . . 2,Tribunale Diocesano »Metropolitano»,Affittuavi Coltivatori Diretti e Mezzadri,,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",",",22
Pag. Acqua di melissa (fabbriche) . . . .2,Tribunale Diocesano »Metropolitano»,Affittuavi Coltivatori Diretti e Mezzadri,,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",",",22
Pag. Acqua potabile (forniture) . . . . . . 2,Tribunale Diocesano »Metropolitano»,Affittuavi Coltivatori Diretti e Mezzadri,,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",",",22
Pag. Acquarelli e fotografie . . . . . 2,Tribunale Diocesano »Metropolitano»,Affittuavi Coltivatori Diretti e Mezzadri,,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",",",22
