Name,Address,Location,Additional Info,page
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Rotta Torre di Mosto,  78",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Rottanova (Cavarzere),  12",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Sacialto (Fossalta di Portogruaro),  25",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Sala (S. Maria di Sala),  72",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Saletto (Ceggia),  15",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Salis (Musile),  51",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Salute (S. Stino di Livenza),  70",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Salvarolo (Pramaggiore),  6",493
,Ca­lleva (S. Maria di Sala),SALZANO, 68,493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"S. Bruson (Dolo),  29",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Sandon (Fossò),  6",493
,Ca­lleva (S. Maria di Sala),S. DONA' DI PIAVE, 6,493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"S. Elena (Torre di Mosto),  78",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"S. Filippo (S. Michele al Tagliamento),  68",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"S. Gaetano (Caorle),  10",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"S. Giorgio (Caorle),  10",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"S. Giorgio (S. Michele al Tagliamento),  68",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"S. Mauro (S. Michele al Tagliamento),  68",493
,Ca­lleva (S. Maria di Sala),S. MICHELE AL TAGLIAMENTO, 68,493
,Ca­lleva (S. Maria di Sala),S. MICHELE DEL QUARTO, 68,493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"S. Nicolò (Portogruaro),  25",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"S. Pietro (Stra),  75",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"S. Pietro (Cavarzere),  12",493
,Ca­lleva (S. Maria di Sala),S. STINO DI LIVENZA, 70,493
,Ca­lleva (S. Maria di Sala),S. MARIA DI SALA, 72,493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Sant'Angelo (S. Maria di Sala),  72",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Sant'Alòma (Chioggia),  16",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Sant'Elena (Torre di Mosto),  78",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Scaltenigo (Mirano),  47",493
,Ca­lleva (S. Maria di Sala),SCORZE', 58,493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Scuole di S. Rocco (Musile),  51",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Segia (Ciniano),  38",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Somenzili (Torre di Mosto),  78",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Sestimo (Cinto Caomaggiore),  25",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Sottomarina (Chioggia),  16",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Spadacenta (Annone Veneto),  6",493
,Ca­lleva (S. Maria di Sala),SPINEA, 75,493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Staffolo (Torre di Mosto),  78",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Stiungo (Fossalta di Portogruaro),  25",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Stigliano (S. Maria di Sala),  72",493
,Ca­lleva (S. Maria di Sala),STRA', 75,493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Stretti (Gisolera),  37",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Summaga (Portogruaro),  25",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Tessere di Grassaga (S. Donà di Piave),  6",493
,Ca­lleva (S. Maria di Sala),TEGLIO VENETO, 6,493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Trezze (Torre di Mosto),  78",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Tombelle (Vigonovo),  80",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Tomitolino (Gisolera),  37",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Torre di Fine (Gisolera),  37",493
,Ca­lleva (S. Maria di Sala),TORRE DI MOSTO, 78,493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Trex Caì (Gisolera),  37",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Trepalade (S. Michele al Quarto),  68",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Vado (Fossalta di Portogruaro),  25",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Valle Sette Caoni (Gisolera),  37",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Valle Tagli (Gisolera),  37",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Valli (Chioggia),  16",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Veternigo (S. Maria di Sala),  72",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Vetrego (Mirano),  47",493
,Ca­lleva (S. Maria di Sala),VIGONOVO, 80,493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Villafranca (Spinea),  75",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Villanova (Fossalta di Portogruaro),  25",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Villanova (S. Michele al Tagliamento),  68",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Villastorta (Portogruaro),  25",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Villaverz (Caorle),  10",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,"Zianiga (Mirano),  47",493
,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Per informazioni turistiche rivolgersi all'ENTE PROVINCIALE per il TURISMO di VENEZIA,493
,"S. Marco, Ascensione 1300",Additional Info: DELLA PROVINCIA DI VENEZIA," ""Tel. 22-373""",493
