Name,Address,Location,Role,Additional Info,page
GRUPPO DI VENEZIA,Campo San Zaccaria,,,,60
Baronis Comm. Ottorino,Campo San Zaccaria,,,Comandante Gruppo,60
Lucarelli Luigi,Campo San Zaccaria,,Ten.,Comandante la compagnia di Venezia,60
Di Vita Domenico,Campo San Zaccaria,,S. Tenente,Comandante la tenenza Venezia,60
Olivieri Antonio,Campo San Zaccaria,,Capitano,Comandante la compagnia di Mestre,60
Dogliotti Eugenio,Campo San Zaccaria,,S. Ten.,Comandante la tenenza di Chioggia,60
Mantaro Santi,Campo San Zaccaria,,Tenente,Comandante la tenenza di Portogruaro,60
Comando di Zona,Campo S. Polo 2128,,,,60
Acampora Giovanni,Campo S. Polo 2128,,Colonello,Comandante,60
Bernardi Guglielmo,Campo S. Polo 2128,,Maggiore,Uff. Superiore addetto,60
Bonomi Eugenio,Campo S. Polo 2128,,Capitano,Capitano addetto,60
Trapani Benedetto,Campo S. Polo 2128,,Colonn.,Comandante,60
Borrani Giannetto,Campo S. Polo 2128,,Ten. Colonn.,Relatore,60
Verderame Giuseppe,Campo S. Polo 2128,,Maggiore,Direttore dei Conti,60
Dionisalvi Mariano,Campo S. Polo 2128,,Capitano,Aiutante Maggiore in Prima,60
Fiore Umberto,Campo S. Polo 2128,,Capitano,Dirigente uff. Servizio,60
Bonato Alberto,Campo S. Polo 2128,,Tenente,Ufficiale di Magazzino,60
Digilio Michelangelo,Campo S. Polo 2128,,Tenente,Ufficiale Pagatore,60
Zennaro Giuseppe,Campo S. Polo 2128,,Cap. medico,Camera Ricovero Legioni,60
Tognali Fausto,Campo S. Polo 2128,,Capitano,Nucleo polizia Trib. invest.,60
Tito Michele,Campo S. Polo 2128,,Sottotenente,Ufficiale Addetto P. T. I.,60
Cervone Salvatore,Campo S. Polo 2128,,Tenente 1. g. s.,Stazione Naviglio (Giudecca),60
Santoro Antonio,Campo S. Polo 2128,,Maggiore i. g. s.,Comandante,60
Siragusa Gaetano,Campo S. Polo 2128,,Cap.,Prima compagnia,60
Salsano Eduardo,Campo S. Polo 2128,,Tenente,Tenenza volante,60
Grasso Giuseppe,Campo S. Polo 2128,,Tenente Colonnello,Comandante,60
Melucco Oscar,Campo S. Polo 2128,,Capitano,Compagnia Mestre,60
duse,"Venezia - Via XXII Marzo, n. 2288",,,SCHEDARI - MOBILI PER UFFICIO - MACCHINE CONTABILI,60
