Category,Page
Direzione Marittima e Capitaneria di Porto,29
Distretto Militare di Venezia,29
Direzione Restaurì e Studio Mosaico delia Basilica di San Marco,43
Direzione di Sanità M. M.,22
Dispensario Provinciale Antitubercolare,3
Dogana Principale di Venezia,21
Dormitori Pubblici,45
Ente Autonomo del Teatro «La Fenice»,43
Ente Comunale di Assistenza E.C.A.,45
Ente Nazionale Assistenza Lavoratori E. N. A. L.,32
Ente Nazionale Distillazione Materie Vinose,29
Ente Nazionale Industrie Cinematografiche E.N.I.C.,43
Ente Nazionale per le Tre Venezie,26
Ente Provinciale per il Turismo,67
Enti di Previdenza ed Assistenza,31
Enti Pubblici di Carattere Sindacale,3
Libere Associazioni Professionali,26
Esattoria Comunale,13
Esposizione Biennale Internazionale d’A,42
Farmacisti,74
Famiglie Religiose Femminili,58
Famiglie Religiose Maschili,57
«Fanciulle» (periodico mensile),66
Federazione Provinciale Lavoratori della Terra, 
"Federazione Provinciale tra Piccoli Proprietari Affittuati, Coltivatori Diretti e Mezzadri di Venezia",28
Federterra,28
"Ferrovie dello Stato, Compartimento di Venezia",24
Fondazione Querini Stampalia,43
«Fronte Unico» (mensile),66
«Fronte dell’Uomo Qualunque»,63
Gabinetti Dentistici,82
Galleria «G. Franchetti » alla Ca’ D’Oro,43
Galleria Internazionale d’Arte Moderna,44
Geometri,75
Ginecologi,78
«Giornale di Scienze Mediche» (mensile),66
Giunta Provinciale Amministrativa,6
