Name,Address,Location,Role,Additional Info,page
SOMMO PONTEFICE S. S. PIO XII,,,SOMMO PONTEFICE,(Eugenio Pacelli) (CCXLII dopo S. Pietro) nato a Roma il 2 marzo 1876 - Eletto Pontefice il 2 marzo 1939,36
GENNARO GRANITO PIGNATELLI DI BELMONTE,,,Vescovo di Ostia e di Albano,Decano del Sacro Collegio,36
ENRICO SIBILIA,,,Vescovo di Sabina e Poggio Mirteto,",",36
ENRICO GASPARRI,,,Vescovo di Velletri,",",36
FRANCESCO MARCHETTI SELVAGGIANI,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,Vescovo di Frascati,",",36
EUGENIO TISSERANT,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,Vescovo di Porto e Santa Sabina,",",36
CARLO SALOTTI,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,Vescovo di Palestrina,",",36
GREGORIO PIETRO AGAGIANIAN,S. Bartolomeo all’Isola,,,Patriarca di Cilicia degli Armeni,36
ALESSIO ASCALLESI,San Callisto,,,Arc. di Napoli,36
BENEDETTO ALOISI MASELLA,S. Maria in Vallicella,,,",",36
MICHELE DE FAULHABER,Sant’Anastasia,,,Arc. di Monaco e Frisinga,36
DIONISIO DOUGHERTY,Santissimi Nereo ed Achilleo,,,Arc. di Filadelfia,36
CLEMENTE MICARA,S. Maria sopra Minerva,,,",",36
ADAMO STEFANO SAPIEHA,S. Maria Nuova e S. Francesca Rom,,,Arc. Cracovia,36
EDOARDO MOONEY,S. Susanna,,,Arc. di Detroit,36
GIOVANNI BATTISTA NASALLI-ROCCA DI CORNELIANO,S. Maria in Traspontina,,,Arc. di Bologna,36
GIULIO SALEIGE,Arc. di Tolosa,,,",",36
GIACOMO CARLO MC GUIGAN,Sta. Maria del Popolo,,,Arc. Toronto,36
ALESSANDRO VERDE,S. Maria in Cosmedin,,,",",36
SAMUELE STRITCH,S. Agnese fuori le mura,,,Arc. di Chicago,36
GIUSEPPE ERNESTO VAN ROEY,S. Maria in Aracoeli,,,Arc. di Malines,36
AUGUSTO HLOND,S. Maria della Pace,,,Arc. di Gnesua e Posnania,36
PIETRO SEGURA Y SAENZ,S. Maria in Trastevere,,,Arc. di Siviglia,36
AGOSTINO PARRADO Y GARCIA,S. Agostino,,,Arc. di Granata,36
ALFREDO IDELFONSO SCHUSTER,Santi Silvestro e Martino ai Monti,,,Arc. di Milano,36
EMANUELE CONCALVES CEREJEIRA,Santi Marcellino e Pietro,,,Patriarca di Lisbona,36
LUIGI LAVITRANO,S. Silvestro in Capite,,,Arc. di Palermo,36
EMILIO ROQUES,S. Balbina,,,Arc. di Rennes,36
GIOVANNI DE JONG,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,Arc. di Utrecht,",",36
CARLO CARMELO DE VASCONCELLOS MOTTA,S. Pancrazio,,,Arc. di S. Paolo del Brasile,36
