Name,Address,Location,Role,Profession,page
Teofilo Uni,,,Capo Divisione,Dott.,43
Romolo Bruni,,,Medico Provinciale,dott.,43
Aldo Ademollo,,,Veterinari prov.,dott.,43
Carlo Mirza,,,Lo Segretario,dott.,43
Teofilo Uni,,,Capo Divisione,Dott.,43
Ignazio Rumico,,,Capo Ragioniere,",",43
Sandrino Calcagno,,,Rag. capi,Dr.,43
Oresto Minneci,,,Rag. capi,Rag.,43
Germanico Ravenna,,,Amministratore,",",43
il Prefetto,,,Presidente,",",43
Dal Cortivo Dr. Domenico,,,Membri effettivi,Dr.,43
Beltrame Dr. Gregorio,,,Membri effettivi,Dr.,43
Siragusa Dr. Ciro,,,Membri effettivi,Dr.,43
Bandarin Avv. Silvestro,,,Membri effettivi,Avv.,43
Frascella Avv. Giuseppe,,,Membri effettivi,Avv.,43
Zennari Ing. Antonio,,,Membri effettivi,Ing.,43
Sabbadin Rag. Giordano,,,Membri effettivi,Rag.,43
Venchierutti Avv. Iginio,,,Membri supplenti,Avv.,43
Francesconi Ing. Carlo,,,Membri supplenti,Ing.,43
Fano Avv. Luciano,,,Membri effettivi,Avv.,43
Chiestina Corona Michele,,,Membri effettivi,",",43
Guerriero Dr. Amello,,,Membri supplenti,Dr.,43
Penzo Ing. Felice,,,Membri supplenti,Ing.,43
Capisani Dario,,,Segretario,",",43
Siragusa Dr. Ciro,,,Membri effettivi,Dr.,43
Beltrame Dr. Gregorio,,,Membri effettivi,Dr.,43
Frascella Avv. Giuseppe,,,Membri effettivi,Avv.,43
Sabbadin Rag. Giordano,,,Membri effettivi,Rag.,43
Bandarin Rag. Giordano,,,Membro supplente,Rag.,43
Spaziante Dr. Domenico,,,Segretario,Dr.,43
Frascino dott. Jerasino,,,Presidente,dott.,43
Alberì rag. Giovanni,,,Membri effettivi,Rag.,43
Adami ing. Mario,,,Membri effettivi,Ing.,43
Giurin Umberto,,,Membri effettivi,",",43
Orsoni Angelo,,,Membri effettivi,",",43
Velatta ing. Massimo,,,Membri supplenti,Ing.,43
Rigobon Pietro,,,Membri supplenti,",",43
