Name,Address,Location,Role,Additional Info,page
Raffaello Carlo Rossi,ORDINE DEI DIACONI,,"Segret., della S. Congregazione Concistoriale",tit. di S. Prassede,37
Pietro Petit De Julleville,ORDINE DEI DIACONI,,Arc. di Rouen,tit. di S. Maria in Aquiro,37
Achille Lienart,ORDINE DEI DIACONI,,Vescovo di Lilla,tit. di S. Sisto,37
Pietro Fumasoni Biondi,ORDINE DEI DIACONI,,"Prefetto della Congregazione di Propaganda Fide, Cancelliere dell'Ateneo di Propaganda Fide",tit. di S. Croce in Gerusalemme,37
Federico Tedeschini,ORDINE DEI DIACONI,,,tit. di S. Maria della Vittoria,37
Maurilio Fossati,ORDINE DEI DIACONI,,Arc. di Torino,tit. di S. Marcello,37
Carlo Saliyotti,ORDINE DEI DIACONI,,,tit di S. Bartolomeo al l'Isola,37
Rodrigo Villeneuve,ORDINE DEI DIACONI,,Arc. di Quebec,tit. di S. Maria degli Angeli,37
Elia Dalla Costa,ORDINE DEI DIACONI,,Arc. di Firenze,tit. di S. Marco,37
Teodoro Innitzer,ORDINE DEI DIACONI,,Arc. di Vienna,tit. di S. Crisogono,37
Ignazio Gabriele Tapponni,ORDINE DEI DIACONI,,Patriarca di Antiochia dei Siri,tit. dei Santi XII Apostoli,37
Normanno Gilroy,ORDINE DEI DIACONI,,Arc. Sydney,tit. SS. Quattro coronati,37
Francesco Marmaggi,ORDINE DEI DIACONI,,,tit. di S. Cecilia,37
Francesco Spellman,ORDINE DEI DIACONI,,Arc. di Nuova York,tit. SS. Giovanni e Paolo,37
Giuseppe M. Caro Rodriguez,ORDINE DEI DIACONI,,Arc. di Santiago del Cile,",",37
Clemente De Gouvela,ORDINE DEI DIACONI,,Arc. di Lorenzo Marques,att. di S. Pietro in Vincoli,37
Emanuele Celestino Suhard,ORDINE DEI DIACONI,,Arc. di Parigi,tit. di S. Onofrio,37
Giacomo De Barros Camara,ORDINE DEI DIACONI,,Arc. di S. Sebastiano de Rio de Janeiro,tit. SS. Bonifacio e Alessio,37
Giacomo Luigi Copello,ORDINE DEI DIACONI,,Arc. di Buenos Ayres,tit. di S. Girolamo degli Schiavoni,37
Enrico Pla y Deniel,ORDINE DEI DIACONI,,Arc. di Toledo,tit. S. Pietro in Montorio,37
Emanuele Arteaga y Betancourt,ORDINE DEI DIACONI,,Arc. di S. Cristoforo - Avana,"tit. ch, S. Lorenzo in Lucina",37
Adrodato Giovanni Piazza,ORDINE DEI DIACONI,,Patriarca di Venezia,"dei Carmelitani Scalzi, tit. di S. Prisca",37
Giuseppe Frings,ORDINE DEI DIACONI,,Arc. di Colonia,tit. di S. Giovanni a Porta Latina,37
Gualberto Giovanni Guevara,ORDINE DEI DIACONI,,Arc. di Lima,tit. S. Eusebio,37
Giuseppe Pizzardo,ORDINE DEI DIACONI,,,"tit, di S. Maria in Via Lata",37
Pietro Gerlier,ORDINE DEI DIACONI,,Arc. di Lione,"tit, della SS. Trinità al Monte Pincio",37
Bernardo Griffin,ORDINE DEI DIACONI,,Arc. di Westminster,tit. SS. Andrea e Gregorio al Monte Celio,37
Emanuele Arce y Ochotorena,ORDINE DEI DIACONI,,Arc. di Tarragona,"tit. SS. Vitale, Gervasio e Protasio",37
Giuseppe Mindszenty,ORDINE DEI DIACONI,,Arc. di Strigonia,tit. S. Stefano al Monte Celio,37
Ernesto Ruffini,ORDINE DEI DIACONI,,Arc. di Berlino,tit. di Santa Sabina,37
Corrado von Preysing,ORDINE DEI DIACONI,,,"tit. di S. Agata dei Goti, Vescovo di Berlino",37
Tommaso Tien,ORDINE DEI DIACONI,,Vicario Ap. di Tsing-Tao,tit. di S. Maria in Via,37
Nicola Canali,ORDINE DEI DIACONI,,,Diac. di S. Nicola in Carcere,37
Bruno Giuseppe,ORDINE DEI DIACONI,,,tit. di S. Eustachio,37
Giovanni Mercati,ORDINE DEI DIACONI,,,Diac. di S. Giorgio in Velabro,37
Alberto Di Jorio,ORDINE DEI DIACONI,,Segretario del Sacro Collegio vacante,Sostituto ed Archivista,37
