Name,Address,Location,Role,Additional Info,page
RAFFAELLO CARLO ROSSI,ORDINE DEI DIACONI,,Segret. della S. Congregazione Concistoriale,tit. di S. Prassede,37
PIETRO PETIT DE JULLEVILLE,tit. di S. Maria in Aquiro,,Arce di Rouen,ORDINE DEI DIACONI,37
ACHILLE LIENART,tit. di S. Maria in Aquiro,,Vescovo di Lilla,tit. di S. Sisto,37
PIETRO FUMASONI BIONDI,tit. di S. Croce in Gerusalemme,,Prefetto della Congregazione di Propaganda Fide, Cancellierte dell'Ateneo di Propaganda Fide,37
MAURILIO FOSSATI,tit. di S. Croce in Gerusalemme,,Arc. di Torino,tit. di S. Marcello,37
RODRIGO VILLENEUVE,tit. di S. Maria degli Angeli,,Arc. di Quebec,ORDINE DEI DIACONI,37
ELIA DALLA COSTA,tit. di S. Marco,,Arc. di Firenze,ORDINE DEI DIACONI,37
TEODORO INNITZER,tit. di S. Marco,,Arc. di Vienna,tit. di S. Crisogono,37
IGNAZIO GABRIELE TAPPONUI,tit. di S. Marco,,Patriarca di Antiochia dei Siri,tit. dei Santi XII Apostoli,37
NORMANNO GILROY,tit. SS. Quattro Coronaji,,Arc. Sydney,ORDINE DEI DIACONI,37
FRANCESCO SPELLMAN,"tit, SS. Giovanni e Paolo",,Arc. di Nuova York,ORDINE DEI DIACONI,37
GIUSEPPE M. CARO RODRIGUEZ,"tit, SS. Giovanni e Paolo",,Arc. di Santiago del Cile,ORDINE DEI DIACONI,37
CLEMENTE DE GOUVELA,tit. di S. Pietro in Vincoli,,Arc. di Lorenzo Marques,ORDINE DEI DIACONI,37
EMANUELE CELESTINO SUHARD,tit. di S. Pietro in Vincoli,,Arc. di Parigi,tit. di S. Onofrio,37
GIACOMO DE BARROS CAMARA,tit. SS. Bonifacio e Alessio,,Arc. di S. Sebastiano de Rio de Janeiro,ORDINE DEI DIACONI,37
GIACOMO LUIGI COPELLO,tit. SS. Bonifacio e Alessio,,Arc. di Buenos Ayres,tit. di S. Girolamo degli Schiavoni,37
ENRICO PLA Y DENIEL,"tit, S. Pietro in Montorio",,Arc. di Toledo,ORDINE DEI DIACONI,37
EMANUELE ARTEAGA Y BETANCOURT,"tit, S. Pietro in Montorio",,Arc. di S. Cristoforo - Avana,tit. di S. Lorenzo in Lucina,37
ADOMAITo GIOVANNI PIAZZA dei Carmelitani Scalzi,"tit, S. Pietro in Montorio",,Patriarca di Venezia,tit. di S. Prasso,37
GIUSEPPE FRINGS,tit. di S. Giovanni a Porta Latina,,Arc. di Colonia,ORDINE DEI DIACONI,37
GUALBERTO GIOVANNI GUEVARA,tit. di S. Giovanni a Porta Latina,,Arc. di Lima,tit. S. Eusebio,37
PIETRO GERLIER,"tit, della SS. Trinità al Monte Pincio",,Arc. di Lione,ORDINE DEI DIACONI,37
BERNARDO GRIFFIN,tit. SS. Andrea e Gregorio al Monte Celio,,Arc. di Westminster,ORDINE DEI DIACONI,37
EMANUELE ARCE Y OCHOTORENA,"tit. SS. Vitale, Gervasio e Protaso",,Arc. di Tarragona,ORDINE DEI DIACONI,37
GIUSEPPE MINDSZENTY,"tit. SS. Vitale, Gervasio e Protaso",,Arc. di Strigonia,tit. S. Stefano al Monte Celio,37
ERNESTO RUFFINI,tit. di Santa Sabina,,Arc. di Berlino,ORDINE DEI DIACONI,37
CORRADO VON PREYSING,tit. di Santa Sabina,,Vescovo di Berlino,tit. di S. Agata dei Goti,37
TOMMASO TIEN,tit. di S. Maria in Via,,Vicario Ap. di Tsing-Tao,ORDINE DEI DIACONI,37
DI JORIO mons. ALBERTO,tit. di S. Maria in Via,,Sostituto ed Archivista,ORDINE DEI DIACONI,37
