NC_NUM,NC_LETT,parish,sestiere,lon,lat
63,,Giudecca1,GIUDECCA,12.337459917619485,45.426186209643035
63,A,Giudecca1,GIUDECCA,12.33758825485189,45.4261425401829
63,C,Giudecca1,GIUDECCA,12.337601131729842,45.4260928923554
63,B,Giudecca1,GIUDECCA,12.337628738560193,45.42610208604393
63,D,Giudecca1,GIUDECCA,12.337566322162228,45.42602170284758
63,E,Giudecca1,GIUDECCA,12.337429388481286,45.426035247807555
63,F,Giudecca1,GIUDECCA,12.337379535623377,45.42606423370201
63,G,Giudecca1,GIUDECCA,12.337421795683127,45.42616750093842
899,H,Giudecca1,GIUDECCA,12.337576045679931,45.42585759554961
899,I,Giudecca1,GIUDECCA,12.337773614198221,45.42592196206168
483,L,San Geremia,CANNAREGIO,12.321159314245614,45.4436029675884
98,N,San Geremia,CANNAREGIO,12.32119171577554,45.44337414681191
98,O,San Geremia,CANNAREGIO,12.321081284049164,45.44351284943117
98,Q,San Geremia,CANNAREGIO,12.320794588768573,45.44360732087204
620,,Giudecca2,GIUDECCA,12.323596701738378,45.42574482466303
620,A,Giudecca2,GIUDECCA,12.324072317062338,45.42555861403448
621,,Giudecca2,GIUDECCA,12.323577939551788,45.42554198187532
621,A,Giudecca2,GIUDECCA,12.323518743037694,45.425508734802605
621,B,Giudecca2,GIUDECCA,12.323490774762812,45.42544706108124
621,C,Giudecca2,GIUDECCA,12.323480376489904,45.42541729827614
621,D,Giudecca2,GIUDECCA,12.323474809204818,45.42539682843771
621,E,Giudecca2,GIUDECCA,12.323428925485803,45.42530386565165
621,F,Giudecca2,GIUDECCA,12.323419117509285,45.425272766731794
621,G,Giudecca2,GIUDECCA,12.323405663808066,45.42524743210375
621,H,Giudecca2,GIUDECCA,12.323392335426137,45.425214990665275
621,I,Giudecca2,GIUDECCA,12.3233684400553,45.42516304208792
621,L,Giudecca2,GIUDECCA,12.323357451535113,45.42521039269161
621,M,Giudecca2,GIUDECCA,12.323343135279295,45.42518323789076
621,N,Giudecca2,GIUDECCA,12.323317445886527,45.42517813556479
621,O,Giudecca2,GIUDECCA,12.323331686869727,45.425194623981916
622,,Giudecca2,GIUDECCA,12.32328361948864,45.425248124724284
622,A,Giudecca2,GIUDECCA,12.323256972137857,45.42525658943543
622,B,Giudecca2,GIUDECCA,12.323232066758838,45.42525942519697
622,C,Giudecca2,GIUDECCA,12.323191982419162,45.425271174619155
622,D,Giudecca2,GIUDECCA,12.32316682068319,45.42527274439859
622,E,Giudecca2,GIUDECCA,12.323028109924167,45.42525585645741
622,G,Giudecca2,GIUDECCA,12.3230645920541,45.42524672250717
622,F,Giudecca2,GIUDECCA,12.32305227267162,45.42526537788281
622,H,Giudecca2,GIUDECCA,12.323061124622937,45.42528659976051
623,,Giudecca2,GIUDECCA,12.323072552098248,45.42531242688499
623,A,Giudecca2,GIUDECCA,12.323089737060718,45.425356928391075
623,B,Giudecca2,GIUDECCA,12.32310649966716,45.4253947602245
623,C,Giudecca2,GIUDECCA,12.32312176045333,45.42542868696817
623,D,Giudecca2,GIUDECCA,12.323140805731827,45.425476201993135
623,E,Giudecca2,GIUDECCA,12.323160703712924,45.42551014749674
623,F,Giudecca2,GIUDECCA,12.323173944954693,45.42554888669343
58,,Giudecca1,GIUDECCA,12.337602606561928,45.42640211069409
58,A,Giudecca1,GIUDECCA,12.337653358132705,45.42632265747527
58,I,Giudecca1,GIUDECCA,12.337877610245524,45.42599013047206
58,B,Giudecca1,GIUDECCA,12.33766138862657,45.42630880530503
58,C,Giudecca1,GIUDECCA,12.337691040055303,45.426265578550506
58,D,Giudecca1,GIUDECCA,12.337724419517356,45.426219288862384
58,E,Giudecca1,GIUDECCA,12.33776946569913,45.426151312088415
58,F,Giudecca1,GIUDECCA,12.337793214018173,45.42611928720475
58,G,Giudecca1,GIUDECCA,12.337812277694884,45.426092732844296
58,H,Giudecca1,GIUDECCA,12.33783834884252,45.42604942253796
55,B,Giudecca1,GIUDECCA,12.337950675738252,45.42598643489819
482,A,Giudecca2,GIUDECCA,12.325707111111665,45.42478798251319
1467,A,Santi Gervasio e Protasio,DORSODURO,12.322154742396238,45.43141495115967
3504,,San Nicola da Tolentino,SANTA CROCE,12.320356564013352,45.43704874825112
3507,,San Nicola da Tolentino,SANTA CROCE,12.320504281752791,45.43704078678659
3508,,San Nicola da Tolentino,SANTA CROCE,12.320547187882978,45.437039769174355
499,,San Nicola da Tolentino,SANTA CROCE,12.31634966464997,45.439840523997916
500,,San Nicola da Tolentino,SANTA CROCE,12.316679847247674,45.439774805091204
