Category,Page
Pesce (ingrosso),134
"Pesce, conservato",135
Pesce e crostacei,135
Petrolio," benzina e derivati, 135"
Pianoforti,135
Piazzettaggio e verniciatura pirocafì,135
Pietre artificiale,135
Piloti,135
Piombo e zinco,135
Pirometri,135
Piscicoltura,135
Pittori decoratori,135
Pittori e decoratori industriali,135
Pitturazioni industriali,136
Pizzi e ricami,136
Pneumatici per auto,136
Pollerie,136
"Pomici, detriti e conglomerati",136
Pompe funebri,136
"Pompe, elettropompe, motopompe",136
Porcellane,137
Portabagagli,137
Potatura e taglio alberi,137
Prefabbricati,137
Prodotti antiparassitari,137
Prodotti azotati,137
Prodotti chimici (industria e commercio),138
Prodotti coloranti,138
Prodotti farmaceutici (industria),138
Prodotti industriali,138
Prodotti e sottoprodotti petroliferi,138
Prodotti vetrari (commercio),138
Profumerie,139
Profumi e affini (fabbriche),139
Provveditori marittimi,139
Pubblicità (agenzie),139
Pulitura vetri e pavimenti,139
Pulizia uffici,139
Pulizia vetture FF. SS.,139
"Quadri, riproduzioni ed oggetti artistici",139
Quadri di manovra e comando,139
Raccolti ferroviari,139
Radio e radiogrammofoni,140
Radio (riparazioni),141
Radio (trasmissioni),141
Radio meccanica,141
Radiotecnica,141
Raffinerie,141
"Rappresentanti e commissionari in :\n     - auto, cicli e accessori",111
Ratti,142
Carta,142
Rappresentanze tecniche,142
Rappresentanze varie,142
Recapiti telegrafici ed espressi,142
Refrattari,142
"Refrattari, laterizi e cale",142
Registratori di cassa,142
Regolatori di temperatura,142
Reti e articoli da pesca,142
Reti metalliche,142
Ricami artistici,142
Ricerche,142
Ricerche minerarie,142
