Category,Rows,% of categorized
"Fashion, textiles & personal goods retail",2198,16.4
"Food, grocery & pharmacy retail",1994,14.8
"Industrial, technical & construction trades",1716,12.8
"Visual, decorative arts & antiques",1441,10.7
"Governance, civic administration & institutional titles",1285,9.6
"Maritime, shipping & transport",1013,7.5
General commerce & advertising,1006,7.5
Hospitality & dining,861,6.4
Retail trade & consumer goods,781,5.8
Legal & professional titles,407,3.0
"Property, banking & insurance businesses",221,1.6
Medical professions,203,1.5
Religious & civic institutions,162,1.2
Education & academic institutions,152,1.1
