Category,Page
Scuola Media Parificata « Maria Immacolata »,41
Scuola Merletti di Burano,41
Scuola di Paleografia e Dottrina Artistica,27
Scuola Professionale Marittima « N. Sauro »,37
Scuola Secondaria Avviamento Professionale Com.li e Femminile « R. Carrier a »,38
Scuola Sottufficiali,22
Scuola Tecnica Commlc. « Bandiera e Moro » con annessa Scuola Avviamento Professionale,38
Scuola Tecnica Commlc. « S. Caboto » e con annessa Scola Avviamento Professionale,38
Scuola Tecnica Ind. con annessa Scuola Avviamento Professionale,38
"Scuola Tecnica Ind. per Meccanici ed Elettricisti « L, Sanudo »",38
Scuola Tecnica Ind. Vetraria « Barovie. ro »,38
Scuole Elementari,39
« Secolo Nuovo » (settimanale),65
Seminario Patriarcale,40
Servizio Comunale delle Pubbliche Affissioni,10
Servizio per gli Elenchi nominativi dei Lavoratori e per i Contributi Unificati in Agricoltura,29
Sezione Iftaletica Veneziana del Circolo,29
Sezione Provinciale dell’Alimentazione S.E.P.R.A.L.,26
Soprintendenza alle Antichità,13
Soprintendenza alle Gallerie ed alle opere d'Arte,13
Soprintendenza ai Monumenti Medioevali e Moderni del Veneto Orientale,43
Società degli Amici dei Monumenti,45
Società Canottieri Bucintoro,40
Solarium al Mare,48
Società Nazionale « Dante Alighieri »,43
Società Telefonica delle Venezie T.EL.,41
Società,40
Stampa Quotidiana e Periodica,64
Unione Nazionale Commercio Union,60
Unione Nazionale Triflicli e Congedi,60
Unione Regionale Camere di Commercio,64
Ufficio Collocamento Gente di Mare,32
Ufficio Comunale di Collocamento,32
Ufficio Comunale per il Turismo,67
Ufficio Coordinamento per il Veneto,32
Unione Gente di Mare,26
V.E.,26
Ufficio di Esportazione Oggetti di Antichità e d'Arte,43
Ufficio Provinciale Assistenza Postbellica,32
Ufficio Provinciale dell'Industria e del Commercio,65
Ufficio Provinciale Statistico Economico,31
Ventocoop rilev.,31
Ritratica Artistica,116
Veterinari,65
Wagons Lits Kook,67
ZAGO F:LLI,26
GIOINI/D-LIBRI,3579
S Armistacollodetto24.,28
Unione Artigreal:31,31
Veteranari,65
Unione Card  Identitlements,54
Venledm,16
Unionmarchii Proprietime a,29
Unionearchivio proprietari q »27,28
Unione Poetia Nob.”28,31
Régional de Coordination,20
Unionearchivlo proprietari q »,31
Unione Punia Nesliv[:28],28
Lavoroé,29
Fotovisori Solarium al Mare,40
Assoclatlone Sioroll a Collocamento,45
Veneto Card,28
Società,40
Stampa Quotidiana e Periodica,64
Venledm,16
Veterinari,65
Ritratica Artistiodesalvo,116
