Category,Page
Scuola Media Parificata «Maria Immacolata»,41
Scuola Merletti di Burano,41
Scuola di Paleografia e Dottrina Artistica,27
Scuola Professionale Marittima «N. Sauro»,20
Scuola Secondaria Avviamento Professionale Comm.le Femminile «R. Carrier»,38
Scuola Sottufficiali,22
Scuola Tecnica Comm.le «Bandiera e Moro» con annessa Scuola Avviamento Professionale,38
Scuola Tecnica Comm.le «S. Caboto» con annessa Scuola Avviamento Professionale,38
Scuola Tecnica Ind. con annessa Scuola Avviamento Professionale,38
Scuola Tecnica Ind. per Meccanici ed Elettricisti «L. Sanduo»,32
Scuola Tecnica Ind. Vetraria «Baroviero»,39
Scuole Elementari,39
«Secolo Nuovo» (settimanale),65
Seminario Patriarcale,40
Servizio Comunale delle Pubbliche Affissioni,16
Servizio per gli Elenchi nominativi dei Lavoratori e per i Contributi Unificati in Agricoltura,29
Sezione Filatelica «Veneziana del Circolo Artistico»,61
Sezione Provinciale dell'Alimentazione S.E.P.R.A.L.,26
Soprintendenza alle Antichità,13
Soprintendenza alle Gallerie ed alle opere d’Arte,6
"Soprintendenza ai Monumenti Medioevali e Moderni, del Veneto Orientale",43
Società degli Amici dei Monumenti,45
Società Canottieri Bucintoro,60
Società Canottieri «Francesco Querini»,62
Società Italiana degli Autori ed Editori,61
Società Nazionale «Dante Alighieri»,43
Solarium al Mare,18
Società Telefonica delle Venezie T.E.I.V.E.,26
Società dell'Unione,60
Società Veneziana Contra la Tubercolosi,48
Stampa Quotidiana e Periodica,64
Stomatologi,81
Suore della Società Regina Apostolorum,46
Ufficio Collocamento Gente di Mare,32
Ufficio Comunale di Collocamento,32
Ufficio Comunale per il Turismo,67
"Ufficio Coordimento per il Veneto delle Federazioni Provinciali fra i Piccoli Proprietari, Affittuavi Coltivatori Diretti e Mezzadri",28
Ufficio di Esportazione Oggetti di Antichità e d’Arte,43
Ufficio Provinciale Assistenza Postbellica,32
Ufficio Provinciale dell’Industria e del Commercio,15
Ufficio Provinciale Statistico Economico Agricoltura I.P.S.E.A.,29
Ufficio Regionale di Coordinamento,29
Ufficio Regionale del Lavoro per le Tre Venezie,28
Ufficio Provinciale del Tesoro,20
Unione Monarchica Italiana,54
Unione Navigazione Interna Alta Italia,54
Unione Nazionale Tiflichi in Congedo d'Italia,60
Unione Provinciale degli Enti Cooperativi,31
Unione Regionale Camere di Commercio delle Venezie,16
«Veneto Commerciale» (settimanale),65
«Vento di Montagna» (quindicinale),65
Veterinari,89
Wagons Lits Krook,67
