Name,Address,Location,Role,Additional Info,page
Trevissoi don Giovanni Battista,SAN ANDREA APOSTOLO,Pietro Apostolo,Parroco,SAN ANDREA APOSTOLO,91
Manfrin don Ugo,SAN ANDREA APOSTOLO,Pietro Apostolo,Vicario,SAN ANDREA APOSTOLO,91
Rinaldi don Angelo,San Pantaleone,Pietro Apostolo,Parroco,San Pantaleone,91
Carli don Anienore,San Pantaleone,Pietro Apostolo,Cooperatore,San Pantaleone,91
Ferrarese cav. uft. don Tullio,San Paolo Apostolo (S. Polo),Pietro Apostolo,Parroco,San Paolo Apostolo (S. Polo),91
Bevilacqua don Mario,San Paolo Apostolo (S. Polo),Pietro Apostolo,Arciprete,Location: Pietro Apostolo,91
Rizzati don Angelo,San Paolo Apostolo (S. Polo),Pietro Apostolo,Cooperatore,Location: Pietro Apostolo,91
Tiraaro don Armindo,SAN FRANCESCO DI PAOLA,Pietro Apostolo,Vicario,SAN FRANCESCO DI PAOLA,91
Doria Don Orazio,San Raffaelo Arcangelo,Pietro Apostolo,Parroco,San Raffaelo Arcangelo,91
Scarpa mons. Giuseppe,San Salvatore,Pietro Apostolo,Parroco,San Salvatore,91
Bacci don Edoardo,San Salvatore,Pietro Apostolo,Cooperatore,San Salvatore,91
Gidoni prof. don Mario,SAN NICOLO' DEI MENDICOLI,Pietro Apostolo,Vicario,SAN NICOLO' DEI MENDICOLI,91
Fort don UZmbreto,SAN BARTOLOMEO,Pietro Apostolo,Vicario,SAN BARTOLOMEO,91
Moro don Giovanni,San Silvestro,Pietro Apostolo,Parroco,San Silvestro,91
Vio don Agostino,SAN GIOVANI ELEMOSINARIO,Pietro Apostolo,Vicario,SAN GIOVANI ELEMOSINARIO,91
Furlani don Mario,SAN APOLLINARE,Pietro Apostolo,Rettore,SAN APOLLINARE,91
Mons. Marcello Dell'Andrea,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),Pietro Apostolo,Rettore,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),91
