Category,Page
Materie resistene,111
Meccanica di precisione,111
Mediatori,111
Mediatori e sensali marittimi,112
Medicinali,112
Mercerie," filati ed affini, 112"
Merletti e ricami,112
Messaggerie,113
Metalli greggi e lavorati,114
Metalli lavorati e bronzi,114
Metalli usati,114
Metano (Commercio),114
Minerali (Commercio),115
Mimio,115
Mobili (fabbriche e negozi),115
Mobili artistici,116
Mobili di ferro (fabbriche e negozi),117
Mobili laccati,117
Mobili di lusso e comuni,117
Mobili d'ufficio,117
Mobili usati,117
Mobilifici,118
Mode,118
Modelli abiti pe' signora,118
Molestiare,118
Mole a smeriglio,118
Molini,118
Mosaici,119
Mosaici (materiale per),119
Mostarda,119
Motocarriatura,119
Motocicli (noleggi e riparazioni),119
Motori,120
Motori marini e fuoribordo," fissi a benzina,  petrolio e nafta, 120"
Musica,120
Nafta,120
Naftalina,120
Nailon,120
Nastri di fibra per cellulosa,120
Navi (compravendita),120
Navi (demolizione),120
Navi in cemento (costruzione),120
Navi in legno (costruzioni),120
Navigazione aerea,120
Navigazione fluviale,120
Navigazione lagunare,120
Navigazione marittima (vedi Soc. di navigazione),156
Nichelatura,121
Noleggio imbarcazioni,121
Officine per carica accumulatori,121
Officine elettromeccaniche,121
Officine eafbrili,122
Officine industria alluminio,121
Officine meccaniche metallurgiche e costruzioni in ferro,121
Officine meccaniche e saldature,122
Officine riparazioni auto,122
Officine riparazioni macchine,123
Officine riparazioni macchine per scrivere,123
Officine riparazioni moto,123
Oggetti artistici per regali,123
"Oggetti artistici, specialità veneziane ed affini",123
Oggetti di piombo,123
Oggetti preziosi ed affini,124
Oggetti soffiati e pressati,124
Oggetti usati,124
Olii combustibili,125
Olii commestibili ed affini,125
Olii grassi carburanti,125
"Olii, grassi, lubrificanti",125
Olii minerali,126
Olive,120
Ombrelli,126
"Oreficerie, gioiellerie ed affini",126
"Orologerie, gioiellerie ed affini",126
Orologi (fabbriche),126
"Orologeria tecnica, industriale scientifica",126
Ortaggi (commercio),127
Ortaggi e legumi (esazione),127
Ouzo (lavorazione),127
Ossidi metallici,127
Ossinene (per uso industriale) (depositi),127
Ostereo,127
Ottica (industria e commercio),128
Ottoni,128
Pali di legno,122
Pali in cimento armato ed accessori,127
Pali intettati,129
Palomchini alla veneziana,130
Palombari,130
Panelli,130
Panifici,130
Pantofolai,131
Parrucchieri per signora,131
Pasticcerie ed affini,132
PastiUci,132
Pavimentazioni,132
Pece e catrame,133
Pellami e cuoli,133
Pelletterie (fabbriche),133
Pelletterie ed affini (negozi),133
Pelle,133
Pelliccerie,134
Penne,134
Pennelli e spazzole,134
Perle (produzione e commero),134
Perle (lavorazione),134
Perle d'ogni tipo a lum,134
Pesca marittima,134
Pesce (asta e pesatura),134
