Name,Address,Location,Role,Additional Info,page
Marcalini padre Domenico O. P.,SS. Giovanni e Paolo,,Parroco,18. SAN GIOVANNI DECOLLATO,89
Manzoni mons. Emilio.,San Giovanni in Bragora,,Parroco,18. SAN GIOVANNI DECOLLATO,89
Posi don Giorgio.,SAN ANTONINO PRETE M.,,Vicario,18. SAN GIOVANNI DECOLLATO,89
Zaniol Mons. Giovanni.,S. MARIA DELLA VISITAZIONE,,Rettore,18. SAN GIOVANNI DECOLLATO,89
"P. Giulio da Schio O, F.M. Capp.",SAN LORENZO DIACONO M.,,Rettore,18. SAN GIOVANNI DECOLLATO,89
Nono don Luigi.,San Giuseppe di Castello,,Parroco,18. SAN GIOVANNI DECOLLATO,89
Bosa don Giuseppe.,San Giuseppe di Castello,,Cooperatore,18. SAN GIOVANNI DECOLLATO,89
Bevilacqua don Giuseppe.,San Lodovico,,Parroco,18. SAN GIOVANNI DECOLLATO,89
Arrigoni don Adolfo.,SAN GIROLAMO,,Rettore,18. SAN GIOVANNI DECOLLATO,89
Calderan don Attilio.,San Luca,,Parroco,18. SAN GIOVANNI DECOLLATO,89
Tramontin don Silvio.,San Luca,,Cooperatore,18. SAN GIOVANNI DECOLLATO,89
Da Villa Don Aldo.,SAN BENEDETTO,,Vicario,18. SAN GIOVANNI DECOLLATO,89
Seno mons. Riccardo.,S. MARCO EVANGELISTA,,Arciprete-parroco,18. SAN GIOVANNI DECOLLATO,89
Schiavon don Giovanni.,S. MARCO EVANGELISTA,,Primo sacrista,18. SAN GIOVANNI DECOLLATO,89
Camille don Otello.,S. MARCO EVANGELISTA,,Secondo sacrista,18. SAN GIOVANNI DECOLLATO,89
Olivotti Mons. Giuseppe.,S. MARCO EVANGELISTA,,Cooperatore,18. SAN GIOVANNI DECOLLATO,89
Benzoni don Eugenio.,SAN MOISE',,Vicario,18. SAN GIOVANNI DECOLLATO,89
Bonifacio don Giuseppe.,SAN GIULIANO,,Rettore,18. SAN GIOVANNI DECOLLATO,89
Baldo don Mario.,SAN GALLO,,Rettore,18. SAN GIOVANNI DECOLLATO,89
"Chialina padre Vettore O, M, C.",S. Maria Gloriosa dei Frari,,Parroco,18. SAN GIOVANNI DECOLLATO,89
