Name,Address,Location,Role,Additional Info,page
Ferretto don Luigi,SANTA MARIA DEGLI ANGELI,S. Maria ad Nives (Lio Picolo),Cappellano-curato,Abitanti 410,93
Tenderini don Albino,SANTA MARIA DEGLI ANGELI,Cavallino,Parroco,Edificata nel 639. Fu cattedrale fino al 1818.,93
Spolaor don Emilio,SANTA MARIA DEGLI ANGELI,S. Maria Elisabetta,Parroco,Edificata nel 639. Fu cattedrale fino al 1818.,93
Giorda don Angelo,SANTA MARIA DEGLI ANGELI,Mazzorbo,Parroco,Edificata nel 639. Fu cattedrale fino al 1818.,93
Pasquini don Giuseppe,SANTA MARIA DEGLI ANGELI,Tre Pallade (Portograndi),Parroco,Edificata nel 639. Fu cattedrale fino al 1818.,93
Gazzola don Pietro,SANTA MARIA DEGLI ANGELI,Caorle,Parroco,SS. Ermo ed Eramo ora Cristo Re,93
Marchesan don Felice,SANTA MARIA DEGLI ANGELI,Caorle,Arciprete,S. Stefano Protomartire,93
Gomiato don Giuseppe,SANTA MARIA DEGLI ANGELI,Caorle,Cooperatore,S. Stefano Protomartire,93
Marin don Alessandro,SANTA MARIA DEGLI ANGELI,Caorle,Capellano,Villaviera,93
Petuggia don Giuseppe,SANTA MARIA DEGLI ANGELI,Ca' Cattoni,Vicario parrocchiale,Parrocchia unita a quella di Carole,93
Scattolin don Carlo,SANTA MARIA DEGLI ANGELI,San’ Miolvela del Quarto,Parroco,Edificata nel 639. Fu cattedrale fino al 1818.,93
Mezzavola don Umberto,SANTA MARIA DEGLI ANGELI,Grisolera,Arciprete,Edificata nel 639. Fu cattedrale fino al 1818.,93
Perini don Marcello,SANTA MARIA DEGLI ANGELI,Grisolera,Cooperatore,Edificata nel 639. Fu cattedrale fino al 1818.,93
Mazzardis don Nardino,SANTA MARIA DEGLI ANGELI,Grisolera,Cooperatore,Edificata nel 639. Fu cattedrale fino al 1818.,93
De Felice don Luigi,SANTA MARIA DEGLI ANGELI,Torre di Fine,Curato,Edificata nel 639. Fu cattedrale fino al 1818.,93
Voltolina don Roberto,SANTA MARIA DEGLI ANGELI,Stretti,Curato,Edificata nel 639. Fu cattedrale fino al 1818.,93
