Category,Page
Accademia di Belle Arti e Liceo Artistico,39
Agenzia Nazionale Stampa Associata A.N.S.A,64
Agricoltura,26
Agricoltura Veneziana (periodico quindicinale),65
Amministrazione Imposte Consumo del Comune,13
Amministrazione della Provincia di Venezia,7
Arciconfraternita di San Cristoforo e Compagnia della Misericordia,7
Architetti,69
Archivio Notarile Regionale,27
Archivio di Stato,27
Artigianato,29
Artisti di Belle Arti,69
Asili Bambini Lattanti e Slattati G. B. Giustinian,46
Asili Infantili,46
Asilo per Minorenni S. Girolamo,45
Associazione tra gli Agricoltori della Provincia di Venezia,28
Associazione dell'Armaamento di Linea di Venezia,31
Associazione Armatori Adriatico Occidentale,27
Associazione dei Commercianti di Venezia,29
Associazione fra i Dirigenti di Aziende Commerciali della Provincia di Venezia,30
Associazione tra i Dirigenti Case di Spedizioni della Provincia di Venezia,28
Associazione Esercenti Pubblici Esercizi della Provincia di Venezia,30
Associazione Imprese Elettriche Veneto Adriatiche,29
Associazione degli Industriali della Provincia di Venezia,20
Associazione tra le Industrie di Marghera per lo studio dei problemi economici,29
Associazione Inquilini e Senza Tetto,32
Associazione Nazionale Combattenti,60
Associazione Nazionale Mutilati ed Invalidi di Guerra,60
Associazione Nazionale Partigiani d'Italia A.N.P.I.,60
Associazione Nazionale Reduci,60
Associazione dei Panificatori di Venezia e Provincia,30
Associazione fra Proprietari di Fabbricati della Provincia di Venezia,32
Associazione Provinciale tra gli Agenti di Assicurazioni,31
Associazione Provinciale fra Dirigenti di Aziende Industriali,29
Associazione Provinciale tra le Industrie Poligrafiche di Venezia,29
Associazione Regionale tra gli Industriali,27
Associazione Regionale Veneta per la Tutela delle Vittime del Fascismo,36
Associazione Sportiva Veneziana C. Reger,62
Associazione Veneta delle Cooperative,31
Associazioni Combattentistiche e di Arma,60
Associazioni Sportive,61
Associazioni Varie,60
Ateneo Veneto (rivista quadrimestrale),65
Ateneo di Venezia,44
Attuari,70
Automobile Club d'Italia,62
Avvocati e Procuratori,71
Avvocatura dello Stato,27
Azienda Comunale per la Navigazione Interna Lagunare,13
Azienda di Stato per i Servizi Telefonici,26
Berlitz School of languages,41
Biblioteca Nazionale Marciana e Soprintendenza Bibliografica per le Venezia,43
