Name,Address,Location,Role,Additional Info,page
Speronello don Fiorino,FAMIGLIE RELIGIOSE MASCHILI,Seborga,Arciprete,Edificata nel 639. Fu cattedrale fino al 1818.,94
Lazzarato don Romano,FAMIGLIE RELIGIOSE MASCHILI,Campalto,Parroco,Edificata nel 639. Fu cattedrale fino al 1818.,94
Mutto don Romeo,FAMIGLIE RELIGIOSE MASCHILI,Mestre,Arciprete,Edificata nel 639. Fu cattedrale fino al 1818.,94
Vidal Mons. Arturo,FAMIGLIE RELIGIOSE MASCHILI,Mestre,Arciprete,Edificata nel 639. Fu cattedrale fino al 1818.,94
Quintavalle don Carlo,FAMIGLIE RELIGIOSE MASCHILI,Mira,Arciprete,Edificata nel 639. Fu cattedrale fino al 1818.,94
Barbato don Desiderio,FAMIGLIE RELIGIOSE MASCHILI,Malcontenta,Parroco,Edificata nel 639. Fu cattedrale fino al 1818.,94
Zorzi don Gedeone,FAMIGLIE RELIGIOSE MASCHILI,Oriago,Arciprete,Edificata nel 639. Fu cattedrale fino al 1818.,94
Carretta dott. don Angelo,FAMIGLIE RELIGIOSE MASCHILI,Trevignano,Parroco,Edificata nel 639. Fu cattedrale fino al 1818.,94
Tosato don Federico,FAMIGLIE RELIGIOSE MASCHILI,Zelarino,Arciprete,Edificata nel 639. Fu cattedrale fino al 1818.,94
Capobi don Mario,FAMIGLIE RELIGIOSE MASCHILI,Chirignago,Curato Autonoma,Edificata nel 639. Fu cattedrale fino al 1818.,94
Bottacin mons. Ricardo,FAMIGLIE RELIGIOSE MASCHILI,Deo,Arciprete,Edificata nel 639. Fu cattedrale fino al 1818.,94
Benedettini,FAMIGLIE RELIGIOSE MASCHILI,FAMIGLIE RELIGIOSE MASCHILI,PARROCCHIE E SUCCURALI,"Superiore: P. D. Martino Chilioni, Dipendenti dall'Abbazis di S. Maria di Praglia (Padova), Curia Generalizia: Subiaco (Roma), Protocoliho di S. Scolastica | isola di S. Giorgio",94
Mechiaristi,FAMIGLIE RELIGIOSE MASCHILI,FAMIGLIE RELIGIOSE MASCHILI,PARROCCHIE E SUCCURALI,"Tipografia propria, Abate generale: P. Ulughogan rev, dott, com. Serapione, Officiano la Chiesa di Santa Croce presso il ponte dei Ferali a San Giuliano, Hanno pure un collegio per l’educazione della gioventù armena in parrocchia di S. Mario del Carmelo | isola di S. Lazzaro",94
Domenicani,"ss. Gioy, e Paolo",FAMIGLIE RELIGIOSE MASCHILI,PARROCCHIE E SUCCURALI,"Superiore: P. Enrico Cucchiarini, O. P., Curia Generalizia: Roma, S. Sabina - Aventino",94
Frati Minori,San Francesco della Vigna,FAMIGLIE RELIGIOSE MASCHILI,PARROCCHIE E SUCCURALI,"Residenza dei Provinciale M. R. P. Girolamo Serafini O. F. M., Curia Geralizia, Roma, via Merulana, 124",94
Servi di Maria,San Francesco della Vigna,FAMIGLIE RELIGIOSE MASCHILI,PARROCCHIE E SUCCURALI,"Priore: P. Luigi Maria Alba, Curia generalizia: Roma, via San Marcelle n. 2 | s. Elena",94
Minori,Giudecca,FAMIGLIE RELIGIOSE MASCHILI,PARROCCHIE E SUCCURALI,"Capuccini, Residenze dei Provinciale P. Vincenzo da Magredis, Hanno la cura spirituale dell'Ospedale Civile, dell'Ospedale S. Marco, dell'Ospedale della Grazie, della Pia Casa di Rico",94
Giora don Virgilio,Giudecca,Natività di Maria,Arciprete,Edificata nel 639. Fu cattedrale fino al 1818.,94
