Name,Role,Profession,Additional Info,Address,Location,page
Avv. Enrico De Nicola,Capo provvisorio dello Stato,,,,,38
Dr. Alcide De Gasperi,Pres. del Consiglio,Min. dell'Interno,Dem. Crist.,,,38
On. Dr. Pietro Nenni,ESTERI,,Socialista,,,38
On. Avv. Fausto Gullo,GRAZIA E GIUSTIZIA,,Comunista,,,38
On. Dr. Mauro Scoccimarro,FINANZE,,Comunista,,,38
On. Dr. Giov. Battista Bertone,TESORO,,Dem. Crist.,,,38
On. Avv. Cipriano Facchinetti,GUERRA,,Repubblicano,,,38
On. Dr. Giuseppe Michieli,MARINA DA GUERRA,,Dem. Crist.,,,38
On. Avv. Salvatore Aldisio,MARINA MERCANTILE,,Dem. Crist.,,,38
On. Avv. Mario Cingolani,AERONAUTICA,,Dem. Crist.,,,38
On. Dr. Guido Gonella,PUBBLICA ISTRUZIONE,,Dem. Crist.,,,38
On. Ing. Giuseppe Romita,LAVORI PUBBLICI,,Socialista,,,38
On. Ing. Giacomo Ferrari,TRASPORTI,,Comunista,,,38
On. Avv. Prof. Antonio Segni,AGRICOLTURA,,Dem. Crist.,,,38
On. Avv. Mario Scelba,POSTE E TELECOMUNICAZIONI,,Dem. Crist.,,,38
On. Prof. Rodolfo Morandi,INDUSTRIA E COMMERCIO,,Socialista,,,38
On. Ludovico D'Aragona,LAVORO E PREVIDENZA SOCIALE,,Socialista,,,38
On. Dr. Emilio Sereni,ASSISTENZA POST-BELLICA,,Comunista,,,38
On. Dr. Pietro Campilli,COMMERCIO CON L'ESTERO,,Dem. Crist.,,,38
On. Dr. Cino Macrelli,Ministri senza portafoglio,,Repubblicano,,,38
