Name,Address,Location,Role,Profession,Additional Info,Journal,page
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Case di cura,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",44,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Case di giuoco,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",45,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Case di spedizioni,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",45,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Casse e arredi mortuari,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",45,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Case editrici,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",45,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Catrame,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",46,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Cavalli da corsa,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",46,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Cave,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",46,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Cavi elettrici,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",46,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Cavi elettrotelefonici (ricupero e posa),Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",46,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Caviale,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",46,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Cementi,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",46,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Cementi armati,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",46,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Cementi e manufatti di calce,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",47,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Centrali elettriche e sottostazioni (impianti),Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",47,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Ceramiche,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",47,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Cere,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",47,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Cereali (grossisti e depositi),Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",47,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Cererie e prodotti affini,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",47,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Cesti (fabbriche),Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",47,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Chincaglierie e affini,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",48,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,"Cicli e motocicli (posteggio, noleggio, riparazioni)",Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",49,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,"Cicli e motocicli (accessori, riparazioni, vendite)",Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",48,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Cinema (sale di proiezione e gestione),Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",50,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Cinema (agenzie noleggio film),Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",50,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Cinema (Stabilimenti di produzione),Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",50,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Cinematografia (macchine per la),Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",50,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Cinghie di cuoio per trasmissione,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",50,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Cinture di salvataggio,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",50,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Coloniali,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",50,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Colori per l'edilizia,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",51,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Colori per industrie varie,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",51,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Colori in polvere,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",51,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Colori e vernici (fabbriche e grossisti),Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",51,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Coltelleria e arrotini,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",51,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Coltellerie (fabbriche),Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",52,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Combustibili liquidi ed affini,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",52,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Combustibili solidi e liquidi,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",52,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Combustibili solidi,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",52,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Commerci automobilistici,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",53,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Compensata,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",53,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Compra-vendita immobili,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",53,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,"Compressori, trapan, smerigliatrici, martelli pneumatici",Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",54,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Conciatori,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",54,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Coniglie,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",54,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Coni ami azotati,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",54,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Concini chimici,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",54,25
,"Venezia, Riva del Vin 722 - 728",Affittuavi Coltivatori Diretti e Mezzadri,Condutture elettriche,Character: Bollettino Parrocchiale San Francesco della Vigna (mensile),",",54,25
