Name,Address,Location,Role,Additional Info,page
,FAMIGLIE RELIGIOSE FEMMINILI,Natività di Maria,PARROCCHIE E SUCCURALI,Agostiniane,95
,FAMIGLIE RELIGIOSE FEMMINILI,S. Cristoforo,PARROCCHIE E SUCCURALI,Ancelle Missionarie,95
,FAMIGLIE RELIGIOSE FEMMINILI,Casa di cura a San Cassiano,PARROCCHIE E SUCCURALI,Ancelle della Carità,95
,FAMIGLIE RELIGIOSE FEMMINILI,Casa principale a S. Alvise,con convitto per alunne elementari e magistrali,Case filiali: Eremite e convitto per alunne delle magistrali | Canossiane,95
Antonino,Istituto dell’Infanzia Abbandonata: Isola della Giudecca - Malamocco,Natività di Maria,PARROCCHIE E SUCCURALI,FAMIGLIE RELIGIOSE FEMMINILI,95
Cappeucine,Istituto dell’Infanzia Abbandonata: Isola della Giudecca - Malamocco,Natività di Maria,PARROCCHIE E SUCCURALI,S. Raffaele Arc. fondamentej del Cerei,95
Carnielitane Scalze,San Alvise,Natività di Maria,PARROCCHIE E SUCCURALI,FAMIGLIE RELIGIOSE FEMMINILI,95
Clarisse Sacramentine,Clarisse della SS. Trinità,Natività di Maria,PARROCCHIE E SUCCURALI,S. Chiara,95
Religiose del Sacro Cuore,Clarisse della SS. Trinità,Convitto per alunne nei óvrai,PARROCCHIE E SUCCURALI,S. Gerenia,95
Suore Maestre di S. Dorotea,"Canarie, Calle Chorervolteft, Castello",Convitto per alunne tellerie complementare a normali; Murano; Carpenedo di Mestre,PARROCCHIE E SUCCURALI,FAMIGLIE RELIGIOSE FEMMINILI,95
Figlie della Carità di S. Vicenzio de' Paoli,"Canarie, Calle Chorervolteft, Castello",Natività di Maria,PARROCCHIE E SUCCURALI,Ospedale di Mirana a S. Anna,95
Figlie del Sacro Cuore,"Canarie, Calle Chorervolteft, Castello",Natività di Maria,PARROCCHIE E SUCCURALI,Istituto Canal al Pianbo,95
Figlie del Cuore di Gesù,"Canarie, Calle Chorervolteft, Castello",Natività di Maria,PARROCCHIE E SUCCURALI,Lido,95
Figlie di San Giuseppe,"Residenza, S. Sebastiano, Casa fl: İtali; S. Giovanni Decollato; Zietelle Fond. Rizzi a Folmiülti",Natività di Maria,con pensionate per al- gnoine che frequentano le varie scuole della'citté',FAMIGLIE RELIGIOSE FEMMINILI,95
Figlie di S. Giuseppe di Torino,"San Marcovol, campiello Cerceo",Natività di Maria,PARROCCHIE E SUCCURALI,FAMIGLIE RELIGIOSE FEMMINILI,95
Suore di Carità di Neves,"San Marcovol, campiello Cerceo",Natività di Maria,Scuole interior^e e órircle,Frari,95
Suore di Maria Bernarda Sacile,Carpenedo de Mestre,Natività di Maria,PARROCCHIE E SUCCURALI,FAMIGLIE RELIGIOSE FEMMINILI,95
Suore della Riparazione,"Casa Néciareth SS. Fosca, ai Servi",Natività di Maria,PARROCCHIE E SUCCURALI,FAMIGLIE RELIGIOSE FEMMINILI,95
Suore della Carità,"Casa Néciareth SS. Fosca, ai Servi",Istituto S. M. dell Piedi: Buon Pastoré: Penitenti: Casa pmdale della Giudecca; Istituto Ciótiot e S. Stefano,PARROCCHIE E SUCCURALI,con convetto | Residenza della Madre provincials: S. Gioacchino,95
