Name,Address,Location,Role,Profession,page
Civitarese dr. Gennaro,,,Capo 2.a riparto,Assistente lavori principali.,62
Matteuzzi geom. Ren'ato,,,Capo 3.a Riparto,Segretario Tecuico Capo.,62
Brinis Giorgio,,,Capo reparto contabilità,Segretario Capo,62
Orihello Giuseppe,,,Segreteria,Segretario principale,62
Brambilla cav. rag. Pietro,,,Ispettore I. classe,", Corpo Ispettivo di Ragioneria",62
Dr. Lambrusta Antonino,,,Ispettore medico,", Ispettore Sanitario",62
Dr. Zanrosso Bruno,,,Ispettore medico,", Ispettore Sanitario",62
Ten. Col. Gasparrini cav. Ugo,,,,", Riparto Compartimentale di Mobilitazione",62
Vian Ruggero,,,Capo Stazione Principale,", Stazione di Venezia,  Santa Lucia",62
Dall'Abaco Aldo,,,Capi Stazione di prima classe,", Stazione di Venezia,  Santa Lucia",62
Zonta Vittorio,,,Capo gestione C. V.,", Stazione di Venezia,  Santa Lucia",62
Saletta Giovanni,,,Capo Gestione Cassa,", Stazione di Venezia,  Santa Lucia",62
Ptacek cav. Giuseppe,,,Capo Stazione princ.,", Stazione di Venezia Marittima",62
Maggini Leonardo,,,Capo stazione I. aggiunto,", Stazione di Venezia Marittima",62
Capogrogroso Adolfo,,,Capo gestione P. V.,", Stazione di Venezia Marittima",62
Ceraico Rodolfo,,,Capo Stazione suppl.,", Stazione di Venezia-Mestre",62
Avignone Manlio,,,Capo Stazione I. aggiunto,", Stazione di Venezia-Mestre",62
Ricoveri Luigi,,,Capo Stazione (Scalo),", Stazione di Venezia-Mestre",62
Patuzzi Carlo,,,Capo Stazione G. V. e biglietti,", Stazione di Venezia-Mestre",62
Gambini Umberto,,,Capo gestione P. V.,", Stazione di Venezia-Mestre",62
Grossi dr. Tommaso,,,Commissario,", Commissariato Compartimentale di Polizia Ferroviaria",62
Piovan Olinto,,,Capo,Polizia Ferroviaria Compartimentale,62
Patti cav. uff. Placido,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo.",,Direttore Provinciale,Direzione Provinciale,62
Patti cav. uff. dr Placido,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo.",,Direttore I. Rep.,Direzione Provinciale,62
Stanglini cav uff. dr. Amilcare,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo.",,Direttore II. Rep.,Direzione Provinciale,62
Carosella cav. Camillo,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo.",,Direttore III. Rep.,Direzione Provinciale,62
Pacini cav. not. Arturo,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo.",,Direttore IV Rep.,Direzione Provinciale,62
De Gabriele Gerardo,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo.",,POSTE E TELEGRAFI,Direzione Provinciale,62
Visentini Ugo,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo.",,Economo Prov.,Direzione Provinciale,62
Brottò d.: Inigo,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo.",,Ispettore tecnico del movimento postale,Direzione Provinciale,62
Arganziano cav. uff. Achille,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo.",,Direttore,Ufficio Telegrafico Centrale,62
Spicuglia Sebastino,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo.",,Direttore tecnico,Ufficio Telegrafico Centrale,62
Trevisan Cav. Pietro,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo.",,Titolare,Ufficio Corrispondenza e Pacchi,62
Canisi Arturo,"Palazzo ex Fontego dei Tedeschi, S. Bartolomeo.",,Titolare,Ufficio Vaglia e Risparmi,62
Assorbito dall'uff. Corrispondenza e Pacchi,Riva dell'Olio numero 1781,,Titolare,Ufficio Vaglia e Risparmi,62
Momo cav. rag. Giuseppe,Riva dell'Olio numero 1781,,Direttore,Ufficio Conti Correnti Postali,62
De Lorenzo cav. Enrico,Riva dell'Olio numero 1781,,Direttore,Ufficio Conti Correnti Postali,62
Guerra Ernesto,Riva dell'Olio numero 1781,,Succ. n. 1 (Lista di Spagna),titolare,62
Soldati Luigi,Riva dell'Olio numero 1781,,Succ. n. 2 (Riva Schiavoni),titolare,62
Cusinato Elena,Riva dell'Olio numero 1781,,Succ. n. 3 (S. Polo),gerente,62
Tognato cav. Tullio,Riva dell'Olio numero 1781,,Succ. n. 4 (S. Marco),titolare,62
Dalla Vedova Maria,Riva dell'Olio numero 1781,,Succ. n. 5 (Ss. Giovanni e Paolo),titolare,62
Battaglieri Massimo,Riva dell'Olio numero 1781,,Succ. n. 6 (S. Stefano),gerente,62
Talpo Onorina,Riva dell'Olio numero 1781,,Succ. n. 7 (S. Sofia),titolare,62
Stoppani Orsola,Riva dell'Olio numero 1781,,Succ. n. 8 (Giudecca),titolare,62
Serena Lina,Riva dell'Olio numero 1781,,Succ. n. 9 (Via Garibaldi),titolare,62
De Anna cav. Francesco,Riva dell'Olio numero 1781,,Succ. n. 10 (Zattere),titolare,62
Boscolo Maddalena,Riva dell'Olio numero 1781,,Succ. n. 11 (S. Elena),titolare,62
Conte Carlo,Riva dell'Olio numero 1781,,Succ. n. 12 (Piazzale Roma," autorimessa Agip), titolare",62
Pesapani Colombo,Riva dell'Olio numero 1781,,Ricevitoria di Lido (S. M. Elisabetta),titolare,62
Peressutti Annibale,Riva dell'Olio numero 1781,,Ricevitoria di Lido (Excelsior),gerente,62
