Name,Address,Location,Role,Profession,page
Dott. GREGORIO NOTARIANNI,,,Prefetto,,42
Dott. Lorenzo Salazar,,,Vice Prefetto vicario,,42
Dott. Domenico Dal Cortivo,,,Vice Prefetto ispettoro,,42
Dott. Gaetano Marfisa,,,Capo di Gabinetto,Vice Prefetto ispett.,42
Dott. Celestino De Bonis,,,Addetti,Consigliere di 1. classe,42
Rag. Paolo Vasquez,,,Addetti,I. Ragioniere,42
Dott. Filipponi Vincenzo,,,,Ufficio Stampa,42
Dott. Serrao Francesco Antonio,,,,Ufficio Stampa,42
Dott. Gian Luigi Gualandi,,,Servizi elettorali,V. Prefetto Ispett.,42
Germanico Ravenna,,,Economato,,42
Dott. Gregorio Beltrame,,,Capo divisione,,42
Rag. Paolo Vasquez,,,Dirigente,I. Ragioniere,42
Dott. Dal Cortivo Domenico,,,Capo Divisione,Vice Prefetto Ispett.,42
Dott. Ciro Siragusa,,,Capo Divisione,Consigliere di I. cl.,42
