category_value,identity,n_rows
Nuova Editoriale S. A.,journal / publishing house (ad),0
Cassa di Risparmio di Venezia,bank (ad),0
VALESE LUIGI,foundry (ad),0
Paganotto Elsa,"unidentified (ad, likely garbage)",0
Stabilimento Marghera,port-related establishment (ad),0
Olimpia Film,cinema (ad),0
OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,typewriter/office-machine repair shop (ad),0
OPIFCINA RIPARAZIONI MACCHINE PER SCRIVERE,"typewriter/office-machine repair shop (ad, OCR variant)",0
MACCHINE per scrivere -- Calcolatrici - Duplicatori,typewriter/calculator/duplicator dealer (ad),0
MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,typewriter/duplicator/accessories dealer (ad),0
MACCHINE CONTABILI MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,accounting machine/typewriter dealer (ad),0
TOTAL,,0
