category,n_rows
Office & mechanical equipment (ad-dominated),935
General goods trade,573
Medical professions,463
Government offices / State administration,459
Visual and decorative arts,454
Religious & civic institutions,373
Sales representatives / Commercial agents,371
Transport and maritime,287
Industry and construction,233
General goods trade (ad-dominated),207
Technical/engineering professions,171
Economic administration (academic),158
Address fragments / non-profession,124
Governance and leadership titles,108
Education,92
General retail shops,83
Administration & directorship,81
Food & grocery retail,78
Language education,73
Civic associations & clubs,66
Provincial and state institutions,57
Real estate & rentals,54
"Institutions, press and political parties",42
'Capo' titles (mixed domains),39
Legal & accounting,36
Law and judiciary (academic),35
Food & hospitality,23
Sports organizations,21
Textile and tailoring,13
Companies/business entities,13
Trade guild categories,9
Personal care,3
