Name,Address,Location,Role,Additional Info,page
S. E. R'ma il sig. Card. Adeodato Giovanni Piazza,,,,Patriarca,86
Padre Giulio Mappelli O.C.D.,,,Segretario particolare,PATRIARCATO DI VENEZIA,86
Schiavo don Giovanni,,,Cerimoniere; Vescovo Ausiliare e Vicario Generale del Patriarcato,PATRIARCATO DI VENEZIA,86
S. E. Illma e Rev.ma Mons. Jeremich dr. Giovanni,,,Arcidiacono e Prima Dignità del Capitolo Patriarcale," ""Prelato Domestico di S. S.""",86
Urbani Mons. dr. Giovanni,,S. Fantino,,Affari Generali,86
Cespa Mons. Carlo,SS. Giovanni e Paolo,,,Affari Generali,86
Mandro don Giuseppe,SS. Giovanni e Paolo,San Zaccaria,,Protocollo Archivio,86
Zannoni don Oscar,SS. Giovanni e Paolo,S. Marcoala,,Matrimoni,86
Rosafa Mons. Antonio,SS. Giovanni e Paolo,Seminario Patriarcale,,Economati,86
D'Altro don Attilio,SS. Giovanni e Paolo,S. Pietro di Murano,,Curia Patriarcale,86
Menegazzi mons. Carlo,SS. Giovanni e Paolo,S. Giuliano,Direttore,Ufficio opere di Religione,86
Bonifacio don Giuseppe,SS. Giovanni e Paolo,San Zaccaria,Coadiutore,Ufficio opere di Religione,86
Piva mons. Vittorio,SS. Giovanni e Paolo,Seminario Patriarcale,Direttore,Ufficio Amministrativo,86
Baldo don Mario,SS. Giovanni e Paolo,San Marco,Coadiutore,Ufficio Amministrativo,86
Vianello don Gino,SS. Giovanni e Paolo,S. Giovanni Nopo,Coadiutore,Ufficio Amministrativo,86
S. E. Rev.ma Jeremich mons. dr. Giovanni,TRIBUNALE DIOCESANO E METROPOLITANO,,Officiale,TRIBUNALE DIOCESANO E METROPOLITANO,86
Tandelli dr. mons. Evelio,TRIBUNALE DIOCESANO E METROPOLITANO,S. Toma,Giudice,TRIBUNALE DIOCESANO E METROPOLITANO,86
Petich can. Francesco,TRIBUNALE DIOCESANO E METROPOLITANO,S. Marco,Giudice,TRIBUNALE DIOCESANO E METROPOLITANO,86
Scattolin mons,TRIBUNALE DIOCESANO E METROPOLITANO,,S. Marco,"Giudice, | Giosuè",86
Spanio mons. dr. Giuseppe,TRIBUNALE DIOCESANO E METROPOLITANO,S. Marco,Giudice,TRIBUNALE DIOCESANO E METROPOLITANO,86
Trevisiol don Giov. Battista,TRIBUNALE DIOCESANO E METROPOLITANO,Tolentini,Giudice,TRIBUNALE DIOCESANO E METROPOLITANO,86
Padre Francesco Saverio Zanon dei Cavanis,TRIBUNALE DIOCESANO E METROPOLITANO,,Giudice,TRIBUNALE DIOCESANO E METROPOLITANO,86
Padre Basilio Camera,TRIBUNALE DIOCESANO E METROPOLITANO,,Giudice,O. F. M.,86
Padre Leone Blasiol,TRIBUNALE DIOCESANO E METROPOLITANO,,Giudice,O. F. M.,86
Bressan Mons. Ettore,TRIBUNALE DIOCESANO E METROPOLITANO,Seminario Patriarcale,Giudice,TRIBUNALE DIOCESANO E METROPOLITANO,86
P. Albino del Bam. Gesù,TRIBUNALE DIOCESANO E METROPOLITANO,,Giudice,O. C. D.,86
P. Angelico in Enego,TRIBUNALE DIOCESANO E METROPOLITANO,,Giudice,F. M. Capp.,86
Urbani Mons. dr. Giovanni,TRIBUNALE DIOCESANO E METROPOLITANO,S. Fantino,Promotore di giustiza,TRIBUNALE DIOCESANO E METROPOLITANO,86
Carre? mons. Giuseppe,TRIBUNALE DIOCESANO E METROPOLITANO,S. Lio,Attuario,TRIBUNALE DIOCESANO E METROPOLITANO,86
Tosi Don Giorgio,TRIBUNALE DIOCESANO E METROPOLITANO,S. Antonino,Direttore,UFFICIO MISSIONARIO DIOCESANO,86
Bottaccio mons. Riccardo,TRIBUNALE DIOCESANO E METROPOLITANO,Chirignago,ESAMINATORI PROSINODALI,ESAMINATORI PROSINODALI,86
De Biasio Mons. Giuseppe,TRIBUNALE DIOCESANO E METROPOLITANO,S. Stefano,ESAMINATORI PROSINODALI,ESAMINATORI PROSINODALI,86
Jandelli dr. Mons. Evelio,TRIBUNALE DIOCESANO E METROPOLITANO,S. Tomà,ESAMINATORI PROSINODALI,ESAMINATORI PROSINODALI,86
Menegazzi mons. Carlo,TRIBUNALE DIOCESANO E METROPOLITANO,S. Marco,ESAMINATORI PROSINODALI,ESAMINATORI PROSINODALI,86
Spagno padre Ferdinando,TRIBUNALE DIOCESANO E METROPOLITANO,,ESAMINATORI PROSINODALI,O. C. D.,86
Spanio mons. dr. Giuseppe,TRIBUNALE DIOCESANO E METROPOLITANO,S. Marco,ESAMINATORI PROSINODALI,ESAMINATORI PROSINODALI,86
Zanon padre Saverio,TRIBUNALE DIOCESANO E METROPOLITANO,,delle Scuole di Carità Cavanis,ESAMINATORI PROSINODALI,86
Bortoli P. Modesto,TRIBUNALE DIOCESANO E METROPOLITANO,,ESAMINATORI PROSINODALI,O. F. M.,86
Bressan Mons. Ettore,TRIBUNALE DIOCESANO E METROPOLITANO,Seminario Patriarcale,ESAMINATORI PROSINODALI,ESAMINATORI PROSINODALI,86
Chialina P. Vittore,TRIBUNALE DIOCESANO E METROPOLITANO,Frari,ESAMINATORI PROSINODALI,O. F. M. Conv.,86
Mazzolini P. Domenico,TRIBUNALE DIOCESANO E METROPOLITANO,SS. Giovanni e Paolo,ESAMINATORI PROSINODALI,O. P.,86
Gusso Mons. Giovanni,TRIBUNALE DIOCESANO E METROPOLITANO,S. Martino,ESAMINATORI PROSINODALI,ESAMINATORI PROSINODALI,86
Chialina P. Vittore,TRIBUNALE DIOCESANO E METROPOLITANO,,O F. M. Conv.,CONSULTORI DEI PARROCI,86
Galimberti Mons. Attilio,TRIBUNALE DIOCESANO E METROPOLITANO,,CONSULTORI DEI PARROCI,CONSULTORI DEI PARROCI,86
Gusso Mons. Giovanni,TRIBUNALE DIOCESANO E METROPOLITANO,,CONSULTORI DEI PARROCI,CONSULTORI DEI PARROCI,86
Mezzaroba dr. Umberto,TRIBUNALE DIOCESANO E METROPOLITANO,,CONSULTORI DEI PARROCI,CONSULTORI DEI PARROCI,86
Selmo P. Michele,TRIBUNALE DIOCESANO E METROPOLITANO,,CONSULTORI DEI PARROCI,O. S. M.,86
Vidal Mons. Arturo,TRIBUNALE DIOCESANO E METROPOLITANO,,CONSULTORI DEI PARROCI,CONSULTORI DEI PARROCI,86
Spanio mons. dr. Giuseppe,TRIBUNALE DIOCESANO E METROPOLITANO,,CENSORI DEI LIBRI,CENSORI DEI LIBRI,86
Zanon padre Francesco dei Cavanis,TRIBUNALE DIOCESANO E METROPOLITANO,,CENSORI DEI LIBRI,CENSORI DEI LIBRI,86
Aucher Padre Giovanni dei Mechitaristi,TRIBUNALE DIOCESANO E METROPOLITANO,,CENSORI DEI LIBRI,CENSORI DEI LIBRI,86
Ambruzzi Padre dei Cappuccini,TRIBUNALE DIOCESANO E METROPOLITANO,,CENSORI DEI LIBRI,CENSORI DEI LIBRI,86
Bressan Mons. Ettore,TRIBUNALE DIOCESANO E METROPOLITANO,,CENSORI DEI LIBRI,CENSORI DEI LIBRI,86
De Luigi S. J,TRIBUNALE DIOCESANO E METROPOLITANO,,CENSORI DEI LIBRI,CENSORI DEI LIBRI,86
Padre Basilio da Monechico,TRIBUNALE DIOCESANO E METROPOLITANO,,CENSORI DEI LIBRI,CENSORI DEI LIBRI,86
Luca Mons,TRIBUNALE DIOCESANO E METROPOLITANO,,CENSORI DEI LIBRI,Attilio,86
Rizzi Padre Ernesto S. J,TRIBUNALE DIOCESANO E METROPOLITANO,,CENSORI DEI LIBRI,CENSORI DEI LIBRI,86
Scarpa Padre Filippo,TRIBUNALE DIOCESANO E METROPOLITANO,,CENSORI DEI LIBRI,O. F. M.,86
Scarpa mons. Giuseppe,TRIBUNALE DIOCESANO E METROPOLITANO,,CENSORI DEI LIBRI,CENSORI DEI LIBRI,86
Spagno Padre Ferdinando dei Carmelitani,TRIBUNALE DIOCESANO E METROPOLITANO,,CENSORI DEI LIBRI,CENSORI DEI LIBRI,86
