Name,Address,Location,Category,Additional Info,Profession,Role,page,location_cleaned
Soc. Costruzioni di Ravan Polato R. e C.,Frari 2995,,imprese edili,Soc. Costruzioni di Ravan Polato R. e C.,Telef: ab. bigliamento,",",461,False
Soc. Editoriale a S. Marco,San Marco 5016,,tipografia, edizioni, giornali,",",461,False
Soc. Editoriale Veneta,San Marco 5110,,Soc. Coop. Muranese di Consumo,casa editrice | S.E.V,S.E.V,", ,",461,False
Soc. Editrice Mario Fantoni,Cannaregio 5486,,casa editrice,Soc. Editrice Mario Fantoni,S.E.V,",",461,False
Soc. Editrice Pubblicazioni Periodiche,San Marco 2059-A,,casa editrice,”Soc. Editrice Pubblicazioni Periodiche,S.E.V,", ,",461,False
Soc. Editrice Rimanenze S.E.R.,San Marco 1317,,casa editrice,Soc. Editrice Rimanenze S.E.R.,S.E.V,",",461,False
Soc. Emulsioni Bitumi Italiani e Colas,"Marghera, via delle Macchine",via delle Macchine,prodotti chimici,Soc. Emulsioni Bitumi Italiani e Colas,S.E.V,",",461,False
Soc. di Esportazione Polegnni Lombardo Iat.,"Piazzale Stazione 10, Mestre",via delle Macchine,uova (grossista),Soc. di Esportazione Polegnni Lombardo Iat.,S.E.V,",",461,False
Soc. Fondiaria Industriale Mobiliare e Immobiliare S.F.I.M.I.,San Polo 3901,via delle Macchine,Società immobiliare,Soc. Fondiaria Industriale Mobiliare e Immobiliare S.F.I.M.I.,S.E.V,",",461,False
Soc. Gen. Conserve Alimentari Cirio,San Polo 3901,Marghera,conserve, marmellate,S.E.V,",",461,False
Soc. Giacomo Molani,Cannaregio 5783,via delle Macchine,alimentari (gross.),Soc. Giacomo Molani,S.E.V,",",461,False
Soc. Immobiliare Adriatica S.F.A.,San Marco 2588,via delle Macchine,attività immobiliari,Soc. Immobiliare Adriatica S.F.A.,S.E.V,",",461,False
Soc. Importazioni Esportazioni Rappresentanze SIER s.a.I.,Cannaregio 4683,via delle Macchine,prodotti industriali,Soc. Importazioni Esportazioni Rappresentanze SIER s.a.I,S.E.V,",",461,False
Soc. Industrie Fonderie e Lavorazione Metalli I.F.L.E.M.,San Marco 1155,via delle Macchine,fonderia, meccanica,S.E.V,",",461,False
Soc. Industriale es. Marco,San Marco 1155,Calle Goldoni,elettromeccanica,Soc. Industrie Fonderie e Lavorazione Metalli I.F.L.E.M.,Soc. Industriale es. Marco,",",461,False
Soc. Ital. Acciaio Betoni Centrifugato,"Amm. S. Leontano 1643-A, Cantiere Marghera, Via A. Votta numero 7",via delle Macchine,pali in cemento armato,Soc. Ital. Acciaio Betoni Centrifugato,Soc. Industriale es. Marco,",",461,False
Soc. Italiana Acquedotti e Fognature,"Amm. S. Leontano 1643-A, Cantiere Marghera, Via A. Votta numero 7",Porto Marghera,Acquedotti,Soc. Italiana Acquedotti e Fognature,Soc. Industriale es. Marco,",",461,False
Soc. Italiana Alluminio,"Amm. S. Leontano 1643-A, Cantiere Marghera, Via A. Votta numero 7",Porto Marghera,officina industria alluminio,Soc. Italiana Alluminio,Soc. Industriale es. Marco,",",461,False
Soc. It. Commercio e Rappresentanze (S.I.C.R.),"Amm. S. Leontano 1643-A, Cantiere Marghera, Via A. Votta numero 7",Mestre,giocattoli,Soc. It. Commercio e Rappresentanze (S.I.C.R.),Soc. Industriale es. Marco,",",461,False
Soc. Ital. Ernesto Breda,Venezia S. Samuele (palazzo Stucky),Porto industriale Marghera,Direzione Venezia S. Samuele (palazzo Stucky),Cantieri Navali,Soc. Industriale es. Marco,",",461,False
Soc. Italiana Forniture Appalti Costruzioni Rappresentanze s.a.r.I.,S. Marco 1317,via delle Macchine,rappresentanze varie,Soc. Italiana Forniture Appalti Costruzioni Rappresentanze s.a.r.I.,Soc. Industriale es. Marco,",",461,False
Soc. It. Ossigeno ed Altri Gas,S. Marco 1317,,materiale per saldature autogeno ossigeno, acetilene, industria chimica,",",461,True
Soc. It. del Piombo e dello Zinco,"Marghera, Via dell'Industria",via delle Macchine,officina meccanica e metallurgia,Soc. It. del Piombo e dello Zinco,Soc. Industriale es. Marco,",",461,False
Soc. Italiana Rappresentanze Commerciali,S. Polo 2237,via delle Macchine,Calle Goldoni,rappresentanze varie | 'IRC s.a.r.I.,'IRC s.a.r.I.,",",461,False
__SECTION___,Mestre Casella Postale numero 86,via delle Macchine,Soc. Italo-Americana pel Petrolio e carburanti olii ed affini,Soc. Italiana Rappresentanze Commerciali,'IRC s.a.r.I.,",",461,False
Soc. Italo-Americana pel Petrolio e carburanti olii ed affini,Mestre Casella Postale numero 86,via delle Macchine,Calle Goldoni,Soc. Italiana Rappresentanze Commerciali,'IRC s.a.r.I.,",",461,False
Soc. Mantovana Barcari,S. Samuele 913,via delle Macchine,trasporti fluviali,"Trasporti nelle Regioni: Lombardia, Veneto, Emilia",'IRC s.a.r.I.,", ,",461,False
Soc. Marittima Ricuperi Ma.Re.Soc in N. Collett,"Mestre, Piazzan Umberto I. 79",via delle Macchine,recuperi marittimi,Soc. Marittima Ricuperi Ma.Re.Soc in N. Collett,'IRC s.a.r.I.,",",461,False
Soc. Montedison per l'industria chimica,"Mestre, Piazzan Umberto I. 79", Viale delle Industrie,fertilizzanti e antitricogamici,Porto Marghera,Soc. Montedison per l'industria chimica,", ,",461,False
Soc. Naz. di Trasporti « Fratelli Condrato »,S. Marco 2053,,Casa di Spedizioni, Capitale soc. L. 25.000.000,Soc. Montedison per l'industria chimica,", ,",461,True
Vernier rag. Augusto,S. Marco 2053,,Calle Goldoni,Direttore della succ. di Venezia,Soc. Montedison per l'industria chimica,", ,",461,True
Soc. Prodotti Industriali Rappresentanze depositi,S. Marco 1441,Viale delle Industrie,Calle Goldoni,prodotti chimici | Soc. AGESPIDE,Soc. AGESPIDE,", ,",461,False
Soc. Produzione di legnania e cellulosa ed affini S.x.I.,S. Polo 1429,,legna per cellulose,Soc. Produzione di legnania e cellulosa ed affini S.x.I.,Soc. AGESPIDE,", ,",461,True
Soc. Produzione e Smc-reio Cementi Armati Centrifugati,S. Polo 1429,,materiali refrattari e laterizi,Soc. Produzione e Smc-reio Cementi Armati Centrifugati,Soc. AGESPIDE,",",461,True
Soc. It. Refrattari Marghera Azionaria S.I.R.M.A.,"Marghera, Via delle Industrie 28",Viale delle Industrie,materiali refrattari e Laterizi,Soc. It. Refrattari Marghera Azionaria S.I.R.M.A.,Soc. AGESPIDE,",",461,False
Soc. S.C.A. Scambi Commerciali Italo Alhanesi di G. Coocon & C,S. Croce 1299,,materiali refrattari e laterizi,rappresentante varie | S.A.,S.A.,",",461,True
Soc. Veneta Commerci e Prodotti chimici C.I.T.A.,S. Croce 1299,,Marghera,concimi e prodotti chimici | S.A.,S.A.,",",461,True
Soc. Vqnetta Acquedotti Anonima,San Marco 4423-A,,acquedotti,Soc. Vqnetta Acquedotti Anonima,S.A.,",",461,True
Soc. Veneziani Concerti Sinfonia,della Fenice 2549,Viale delle Industrie,concerti, film,S.A.,",",461,False
Soc. Veneziani Cotone e Cristallerie,"S. Marco 41, Murano forn. Navagero 34",,per prodotti e commercio, conterie e oggetti artistici,S.A.,",",461,True
Soc. An. d'Acquisto di materiali,Dorsoduro 715,,Soc. An. d'Acquisto di materiali,Soc. Veneziani Cotone e Cristallerie,S.A.,",",461,True
Soc. It. AFER,S. Marco 4232,,Società mobiliare immobiliare e agricola,Soc. It. AFER,S.A.,",",461,True
Soc. An. Arturo Junghans,S. Marco 4232,Giudeccà,o'clock,Soc. An. Arturo Junghans,S.A.,",",461,False
Soc. An. A. Pizzolotto,S. Marco 4232,,liquori (fabbrica e deposito),"Giudeccà, S. Biagio",S.A.,",",461,True
Soc. An. Beni Stabili e Terreni S.A.B.S.E.T.,San Marco 126,,compravendita immobili,Soc. An. Beni Stabili e Terreni S.A.B.S.E.T.,S.A.,", ,",461,True
Soc. An. Birra Pedavena Dreher,San Marco 126,Venezia,Soc. An. d'Acquisto di materiali,Soc. An. Birra Pedavena Dreher,S.A.,",",461,False
