Category,Page
Il Foglietto »  (periodico),65
Il Martello »  (periodico settimanale),65
Il Mattino del Popolo »  (quotidiano),61
Il Gazzettino  »  (quotidiano),64
Il Nuovo Risorgimento »  (settimanale),65
Il Popolo del Veneto »  (settimanale),65
Il Suffragio »  (mensile),65
Industria,27
Ingegneri,27
Intendenza di Finanza,20
Ispettorato Agrario Compartimentale per le Venezie,26
Ispettorato Compartimentale Agrario,28
Ispettorato Compartimentale delle Doga,21
Ispettorato Generale della Motorizzazione Civile e dei Trasporti in Concessione,30
Ispettorato del Lavoro,28
Ispettorato Provinciale dell'Agricoltura,28
Ispettorato per le Tre Venezie della Previdenza Sociale,31
Istituti Ospedalieri e Sanitari,47
Istituto Artistico Industriale,38
Istituto Artigianelli « S. Girolamo Emiliani »,38
Istituti di Assistenza dell'Amministrazione Provinciale,46
Istituto Autonomo per le Case Popolari della Provincia di Venezia,46
Istituto Buon Pastore,46
Istituto Ca' di Dio,45
Istituto Cavanis,41
Istituto Convictto Guglielmo Marconi,41
Istituto di Cultura Fisica Pietro Gallo,62
Istituto per l'Infanzia Abbandonata,45
Istituto Italiana Ravà,45
Istituto Magistrale Parificato « Mai-a Immacolata »,41
Istituto Magistrale « N. Tommàseo »,41
Istituto « A. Manzoni »,41
Istituto del Nastro Azzurro,47
Istituto Nazionale per l'Assicurazione contro gli Infortuni sul lavoro,32
Istituto Nazionale per l'Assistenza al Malattia ai Lavoratori,32
Istituto Nazionale per il Commercio Estero,36
Istituto Nazionale della Previdenza Sociale,31
Istituto Penitenti,45
l'Istituto Professionale per l'Addestramento Professionale Lavoratori dell'Industria,39
Istituto per gli Studi Adriatici,48
Istituto per la Protezione degli Orfani dei Patrioti caduti per la Liberazione della Patria « Francesco Barbarotto »,45
Istituto Provinciale degli Esposti,46
Istituto Provinciale Sordomuti,46
Istituto Suore di Nevers,41
Istituto delle Suore del Sacro Cuore,41
Istituto Tecnico Industriale Venezia Marghera,38
Istituto Tecnico Nautico « S. Venier »,38
Istituto Tecnico Comm.le « P. Sarpi »,38
Istituto Universitario di Architettura di Venezia,37
Istituto Universitario di Economia e Commercio,35
Istituto Veneto per il Lavoro,39
Istituto Veneto di Scienze Lettere ed Arti,42
Istituto Vittorio Alfieri,41
Istituto Zambler,41
Istituzioni di Beneficenza,42
"Istituzioni di Cultura, Biblioteche e Musei",42
Istituzioni Religiose,45
"Istruzione Classica, Scientifica e Magistrale",38
Istruzione Media e Artistica,38
Istruzione Privata,41
Istruzione Professionale,39
Istruzione Religiosa,40
Istruzione Tecnica,38
"Italcable, Compagnia Italiana dei Cavi Telegrafici Sottomarini",23
La Cultura Fisica » (mensile),66
La Donna Italiana »  (quindicinale),65
La Gazzetta di Ca' Foscari » (quindicinale),65
La Gazzetta del Nord » (settimanale),65
La Lanterna »  (mensile),66
La Piccola Opera della Divina Provvidenza » (mensile),65
L'Ascesa del Dipendente Locale » (mensile),66
L'Artigiano »  (periodico),65
La Voce dell'Aeronautica »  (quindicinale),66
La Voce della Donna » (quindicinale),65
La Voce dei Maestro » (mensile),66
La Voce del Pastore » (mensile),66
La Voce di San Marco » (settimanale),65
La Voce del Seminario » (bimestrale),65
Lega delle Cooperative per la Provincia di Venezia,66
Legione Territoriale dei Carabinieri,42
Legione Territoriale della Guardia di Finanza «  Due Piavi »,42
Le Lampade Viventi » (bimestrale),66
Le Missioni Francescane » (mensile),65
Lettere ed Arti »(mensile),65
Liceo Artistico,38
Liceo Classico «  Marco Polo »,38
Liceo Classico « Marco Foscarini »,38
Liceo Classico di Venezia Mestre,38
Liceo Scientifico « G. B. Benedetti »,38
Ludo »  (mensile),65
