Name,Address,Location,Role,Additional Info,page
Ventura dr. ing. Giuseppe,VENEZIA • Via XXII Marzo,,Direttore,,58
Valenti dr. ing. Ferdinando,VENEZIA • Via XXII Marzo,,Vice Direttore,,58
Corti rag. Aldo,VENEZIA • Via XXII Marzo,,Commis. Amm.vo,,58
Garofali rag Domenico,VENEZIA • Via XXII Marzo,,Vice Commis.,,58
Tosto Ottone,VENEZIA • Via XXII Marzo,,Capo Tecnico Principale,,58
Panizzut Umberto,VENEZIA • Via XXII Marzo,,Economo Cassiere,,58
Magazzino Manifattura Tabacchi,Zattere Spirito Santo e Giudecca 115,,,,58
Grieco rag. Antonio,Zattere Spirito Santo e Giudecca 115,PORTO MARGHERA,Dirigente,,58
Caffarelli rag. Giuseppe,Zattere Spirito Santo e Giudecca 115,PORTO MARGHERA,Vice Commissario Amm.vo,,58
Porra Giuseppe,Zattere Spirito Santo e Giudecca 115,,Gestore,,58
Corti rag. Luciano,Zattere Spirito Santo e Giudecca 115,,Ricevitore,,58
Comm. Francesco Faccone,Zattere Spirito Santo e Giudecca 115,,Ispettore Compartimentale,,58
Monaco Cav. Angelo,Zattere Spirito Santo e Giudecca 115,,Direttore Superiore,,58
Ispettore Jannuzzi dr. Aldo,Zattere Spirito Santo e Giudecca 115,,Segretario,,58
Consolo Cav. Uff. Ernesto,Zattere Spirito Santo e Giudecca 115,,Direttore locale,,58
Bencini Dr. Enzo,Zattere Spirito Santo e Giudecca 115,,Ispettore Capo di giro,,58
Deidda Dr. Andrea,Zattere Spirito Santo e Giudecca 115,,Ispettore Capo Uff. Visite,,58
De Bernardinis Cav. Cesare,Zattere Spirito Santo e Giudecca 115,,Ispettore Capo Uff.," Scritture, ",58
Proo; Capo,Zattere Spirito Santo e Giudecca 115,,,"Capo Ufficio Statistica, | Paulin Manlio",58
Ispett. Capo,Zattere Spirito Santo e Giudecca 115,,,"Capo Servizio, | Alì Innocenzo",58
Giunchiglia dr. Giuseppe,Zattere Spirito Santo e Giudecca 115,,,"Capo Servizio, | Ispettore Capo",58
Ispettore Capo,Zattere Spirito Santo e Giudecca 115,,,"Capo Servizio, | Rizzuto Luigi",58
Ispettore Capo,Zattere Spirito Santo e Giudecca 115,,,"Capo Servizio, | Belfio Guido",58
Ispett. Capo,Zattere Spirito Santo e Giudecca 115,,,"Capo Servizio, | Luzi Umberto",58
Ispett. Capo,Zattere Spirito Santo e Giudecca 115,,,"Capo servizio, | Cochetti dr. Romolo",58
Ispett. Capo,Zattere Spirito Santo e Giudecca 115,,,"Capo servizio, | Torsello Enrico",58
Cav. Uff. Materazzo dr. Mario,Zattere Spirito Santo e Giudecca 115,,Ricevitore Capo,,58
I. f. Ufficiale,Dogana Secondaria di Chioggia,,,"Ricevitore, | Papa Umberto",58
Commissario Jannicelli cav. Mario,Dogana Principale di Ponte Fornaci (Donada),,Ricevitore,,58
