Category,Page
PESCI (ingrosso),134
Pesce : conservato,135
Pesce e crostacei,135
"Petrolio, benzina e derivati",135
Pianoforti,135
Picchettaggio e verniciatura piroacchi,135
Pietre artificiali,135
Piloti,135
Piombo e zinco,135
Pirometri,135
Pisceicultura,136
Pittori decoratori,135
Pittori e decoratori industriali,136
Pitturazioni industriali,136
Pizzi e ricami,136
Pneumatici per auto,136
Pollerie,136
"Pomici, detriti e conglomerati",136
Pompe funebri,136
"Pompe, elettropompe, motopompe",136
Porcellane,137
Portabagagli,137
Potatura e taglio alberi,137
Prefabbricati,137
Prodotti antiparassitari,137
Prodotti azotati,137
Prodotti chimici (industria e commercio),137
Prodotti coloranti,137
Prodotti farmaceutici (industria),138
Prodotti industriali,138
Prodotti e sottoprodotti petroliferi,138
Prodotti vetrari (commercio),138
Profumerie,139
Profumi e affini (fabbriche),139
Provveditori marittimi,139
Pubblicità (agenzie),139
Pulitura vetri e pavimenti,139
Pulizia uffici,139
Pulizia vetture FF. SS.,139
"Quadri, riproduzioni ed oggetti artistici",139
Quadri di manovra e comando,139
Racconti ferroviari,139
Radio e radiogrammofoni,140
Radio (riparazioni),141
Radio (trasmissioni),141
Radiomeccanica,141
Radiotecnica,141
Raffinerie,141
"Rappresentanti e commissionari in auto, cicli e accessori",141
Rappresentanti e commissionari in apparecchi e materiale radio,141
Rappresentanti e commissionari in articoli casalinghi,141
Rappresentanti e commissionari in articoli elettrici,141
Rappresentanti e commissionari in assicurazioni,141
Rappresentanti e commissionari in articoli in vetro,141
Rappresentanti e commissionari in calzature,141
Rappresentanti e commissionari in carboni,142
Rappresentanti e commissionari in carburanti,142
Rappresentanti e commissionari in carta,142
Rappresentanti e commissionari in carburo di calcio,142
Rappresentanti e commissionari in chincaglierie,142
Rappresentanti e commissionari in cinematografia,142
"Rappresentanti e commissionari in colori, vernici, smalti ecc",142
Rappresentanti e commissionari in generi alimentari,142
Rappresentanti e commissionari in macchinari,143
Rappresentanti e commissionari in materiali edili,143
Rappresentanti e commissionari in pellami,143
Rappresentanti e commissionari in prodotti chimici,143
Rappresentanti e commissionari in profumi,143
"Rappresentanti e commissionari in tessuti, confezioni, filati",144
Rappresentanze tecniche,144
Rappresentanze varie,144
Recapiti telegrafici ed espressi,145
Refrattari,145
"Refrattari, laterizi e calce",145
Registratori di cassa,145
Regolatori di temperatura,145
Reti e articoli da pesca,146
Reti metalliche,146
Ricami artistici,146
Ricerche,146
Ricerche minerarie,146
