Name,Address,Location,Role,Profession,page
SOMMO PONTEFICE S. S. PIO XII,CCXLII dopo S. Pietro,,,Pontefice,36
Eugenio Pacelli,CCXLII dopo S. Pietro,,,",",36
GENNARO GRANITO PIGNATELLI DI BELMONTE,CCXLII dopo S. Pietro,,Vescovo di Ostia e di Albano,Decano del Sacro Collegio,36
ENRICO SIBILIA,CCXLII dopo S. Pietro,,Vescovo di Sabina e Poggio Miretto,",",36
ENRICO GASPARRI,CCXLII dopo S. Pietro,,Vescovo di Velletri,",",36
FRANCESCO MARCHETTI SELVAGGIANI,CCXLII dopo S. Pietro,,Vescovo di Frascati,Arciprete della Poriarcale Basilica Lateranese Vicario Generale di S. S.,36
EUGENIO TISSERANT,CCXLII dopo S. Pietro,,Vescovo di Porto e Santa Sabina,",",36
CARLO SALOTTI,CCXLII dopo S. Pietro,,Vescovo di Palestrina,",",36
GREGORIO PIETRO AGAGIANIAN,CCXLII dopo S. Pietro,,tit. S. Bartolomeo all’Isola,Patriarca di Cilicia degli Armeni,36
ALESSIO ASCALLESI,CCXLII dopo S. Pietro,,tit. di San Callisto,Arc. di Napoli,36
BENEDETTO ALOISI MASELLA,CCXLII dopo S. Pietro,,tit. S. Maria in Vallicella,",",36
MICHELE DE FAULHABER,CCXLII dopo S. Pietro,,tit. di Sant’Anastasia,Arc. di Monaco e Frisinga,36
DIONISIO DOUGHERTY,CCXLII dopo S. Pietro,,tit. dei Santissimi Nereo ed Achilleo,Arc. di Filadelfia,36
CLEMENTE MICARA,CCXLII dopo S. Pietro,,tit. S. Maria sopra Minerva,",",36
ADAMO STEFANO SAPIEHA,CCXLII dopo S. Pietro,,tit. S. Maria Nuova e S. Francesca Rom,Arc. Cracovia,36
EDOARDO MOONEY,CCXLII dopo S. Pietro,,tit. S. Susanna,Arc. di Detroit,36
GIOVANNI BATTISTA NASALLI-ROCCA DI CORNELIANO,CCXLII dopo S. Pietro,,tit. di S. Maria in Traspontina,Arc. di Bologna,36
GIULIO SALIEGE,CCXLII dopo S. Pietro,,tit. Arc. di Tolosa,",",36
GIACOMO CARLO MC GUIGAN,CCXLII dopo S. Pietro,,tit. Sta. Maria del Popolo,Arc. Toronto,36
ALESSANDRO VERDE,CCXLII dopo S. Pietro,,tit. di S. Maria in Cosmedin,",",36
SAMUELE STRITCH,CCXLII dopo S. Pietro,,tit. di S. Agnese fuori le mura,Arc. di Chicago,36
GIUSEPPE ERNESTO VAN ROEY,CCXLII dopo S. Pietro,,tit. di S. Maria in Aracoeli,Arc. di Malines,36
AUGUSTO HLOND,CCXLII dopo S. Pietro,,tit. di S. Maria della Pace,Arc. di Gnesua e Posnaña,36
PIETRO SEGURA Y SAENZ,CCXLII dopo S. Pietro,,tit. di S. Maria in Trastevere,Arc. di Siviglia,36
AGOSTINO PARRADO Y GARCÍA,CCXLII dopo S. Pietro,,tit. S. Agostino,Arc. di Granata,36
ALFREDO IDELFONSO SCHUSTER,CCXLII dopo S. Pietro,,tit. dei Santi Silvestro e Martino ai Monti,Arc. di Milano,36
EMANUELE CONCALVES CEREJEIRA,CCXLII dopo S. Pietro,,tit. dei Santi Marcellino e Pietro,Patriarca di Lisbona,36
LUIGI LAVITRANO,CCXLII dopo S. Pietro,,tit. di S. Silvestro in Capite,Arc. di Palermo,36
EMILIO ROQUES,CCXLII dopo S. Pietro,,tit. S. Bàlbina,Arc. di Rennes,36
GIOVANNI DE JONG,CCXLII dopo S. Pietro,,Arc. di Utrecht,",",36
CARLO CARMELO DE VASCONCELLOS MOTTA,CCXLII dopo S. Pietro,,tit. di S. Pancrazio,Arc. di S. Paolo del Brasile,36
